field_1,key,scientificName,issues,datasetKey,publishingOrgKey,networkKeys,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,elevation,continent,stateProvince,year,month,day,eventDate,startDayOfYear,endDayOfYear,lastInterpreted,license,isSequenced,identifier,facts,relations,institutionKey,collectionKey,isInCluster,datasetID,datasetName,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,gbifRegion,country,publishedByGbifRegion,rightsHolder,recordNumber,identifier.1,nomenclaturalCode,locality,gbifID,language,collectionCode,occurrenceID,type,taxonID,catalogNumber,vernacularName,organismID,institutionCode,ownerInstitutionCode,accessRights,collectionID,name,lifeStage,habitat,individualCount,elevationAccuracy,recordedBy,preparations,institutionID,verbatimEventDate,municipality,county,verbatimCoordinateSystem,disposition,eventTime,dateIdentified,coordinateUncertaintyInMeters,modified,references,identifiedBy,http...unknown.org.nick,informationWithheld,verbatimLocality,http...unknown.org.captive_cultivated,occurrenceRemarks,identificationID,sex,identifiedByIDs.type,identifiedByIDs.value,dynamicProperties,vitality,higherGeography,georeferencedDate,georeferenceProtocol,georeferenceVerificationStatus,georeferenceSources,georeferenceRemarks,coordinatePrecision,georeferencedBy,otherCatalogNumbers,fieldNumber,higherGeographyID,identificationRemarks,verbatimElevation,higherClassification,projectId,establishmentMeans,locationRemarks,recordedByIDs.type,recordedByIDs.value,organismQuantity,organismQuantityType,bibliographicCitation,locationAccordingTo,previousIdentifications,waterBody,distanceFromCentroidInMeters,http...unknown.org.license,parentNameUsage,materialEntityID,source,GID_1,GID_0,COUNTRY_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,x,y
1,5209167350,"Atelopus ignescens (Cornalia, 1849)","cdround,gass84,colmafu,inmafu",884de5ad-81d2-40e0-a454-171c2d246708,995e1d34-875c-4d1f-9be0-8c714ddb7ad7,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-24T11:10:09.918+00:00,2025-11-25T13:43:49.581+00:00,393,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,2400,SOUTH_AMERICA,Pichincha,2024,9,29,29/09/2024,273,273,2025-11-25T13:43:49.581+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,EC:CJ:14289,none,none,74884348-0703-4db6-ab49-b378218f5ae5,6c3c2b62-00d0-43dd-b802-029eed5a1f2d,FALSE,https://doi.org/10.15468/e5ijd1,Centro Jambatu - Banco de Vida - Museo,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Centro Jambatu de Investigación y Conservación de Anfibios / Fundación Jambatu,sc12005,EC:CJ:14289,ICZN,"Geovanni Farina, San Rafael, Rumi?ahui",5209167350,ES,CJ,EC:CJ:14289,PhysicalObject,ec.bio.spp.43074,14289,Arlequín jambato negro de páramo,EC:CJ:14289,Fundación Jambatu - CJ,CJ,CC0 BY NC,https://www.gbif.org/es/grscicoll/institution/74884348-0703-4db6-ab49-b378218f5ae5,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.19_1,ECU,Ecuador,Pichincha,NA,NA,Provincia,Province,17,EC.PI,EC-P,-78.460186,-0.296472
4,476471215,"Atelopus ignescens (Cornalia, 1849)","colmafu,inmafu",4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,b4640710-8e03-11d8-b956-b8a03c50a862,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,b0f5183c-5ed0-47f4-b75f-65e0c1036cb5,b4640710-8e03-11d8-b956-b8a03c50a862,US,EML,2026-02-14T04:15:57.463+00:00,2026-02-14T04:50:36.259+00:00,704,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,3950,SOUTH_AMERICA,Pichincha,1988,1,3,03/01/1988,3,3,2026-02-14T04:50:36.259+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCZ:Herp:A-112992,none,none,1cfca87c-083e-4d67-8e60-cb7d311f6058,b2a3198c-ca1b-40e5-890f-46b4021d623b,FALSE,NA,NA,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,President and Fellows of Harvard College,NA,MCZ:Herp:A-112992,ICZN,"Pasochoa Volcano Forest, approx 40 km SE of Quito",476471215,NA,Herp,MCZ:Herp:A-112992,NA,NA,A-112992,NA,NA,MCZ,"Museum of Comparative Zoology, Harvard University",NA,NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,1,0,P. Stern,whole animal (ethanol),b4640710-8e03-11d8-b956-b8a03c50a862,3/1/1988-3/1/1988,NA,NA,decimal degrees,unknown,NA,NA,6115,2024-12-20T16:09:52.000+00:00,http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:A-112992,Catalog,NA,NA,"Ecuador, Pichincha Prov., Pasochoa Volcano Forest, approx. 40 km SE of Quito 3950m.",NA,NA,NA,NA,NA,NA,NA,NA,South America: Ecuador: Pichincha,NA,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,unverified,Alexandria Digital Library,NA,1.00E-05,Elisa Bonaccorso,field number=MCZ FS-Z33674|muse location number=ZA112991,MCZ FS-Z33674,http://vocab.getty.edu/tgn/1001487,OCE 12-20.x.89 by FDRoss,3950-3950 m,Animalia Chordata Amphibia Lissamphibia Anura Bufonoidea Bufonidae Atelopus ignescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.19_1,ECU,Ecuador,Pichincha,NA,NA,Provincia,Province,17,EC.PI,EC-P,-78.48333,-0.43333
5,4912439208,"Atelopus ignescens (Cornalia, 1849)","cdc,conti",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:07.092+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,3200,SOUTH_AMERICA,Napo,1988,3,30,30/03/1988,90,90,2025-11-25T15:52:07.092+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA275,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,NA,QCAZA275,NA,Oyacachi,4912439208,es,QCAZA,QCAZA275,PhysicalObject,ec.bio.spp.43074,QCAZA275,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,0,Erika Bejarano|Felipe Campos|CuradorAmphi,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,NA,NA,NA,"ECUADOR: Napo: Oyacachi.  Altitud: 3200msnm - Latitud: -,67552999999999996383 Longitud: -76,396500000000003183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.16_1,ECU,Ecuador,Napo,NA,NA,Provincia,Province,15,EC.NA,EC-N,-78.08767,-0.212816
6,4912440282,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:07.385+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,4141,SOUTH_AMERICA,Pichincha,1987,6,1,01/06/1987,152,152,2025-11-25T15:52:07.385+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA773,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,NA,QCAZA773,NA,Páramo de Guamaní,4912440282,es,QCAZA,QCAZA773,PhysicalObject,ec.bio.spp.43074,QCAZA773,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,0,Erika Bejarano|G. Medina|CuradorAmphi,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,NA,NA,NA,"ECUADOR: Pichincha: Guamani.   Latitud: -,67683999999999999719 Longitud: -76,40031999999999357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.19_1,ECU,Ecuador,Pichincha,NA,NA,Provincia,Province,17,EC.PI,EC-P,-78.20153,-0.32692
7,786442117,"Atelopus ignescens (Cornalia, 1849)","cdrep,colmafu,inmafu",76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,a957a663-2f17-415f-b1c8-5cf6398df8ed,2053a639-84c3-4be5-b8bc-96b6d88a976c,US,EML,2025-11-18T13:47:22.471+00:00,2025-11-25T13:17:54.914+00:00,335,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,3980,SOUTH_AMERICA,Pichincha,1987,10,10,10/10/1987,283,283,2025-11-25T13:17:54.914+00:00,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,urn:catalog:CM:Herps:117019,none,none,c529f324-701e-45e4-82b7-10587cdb56e8,1433e223-80a8-452c-8a13-811fa89bbb70,FALSE,NA,NA,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,NA,NA,urn:catalog:CM:Herps:117019,ICZN,10 KM NW OF PAPALLACTA,786442117,en,Herps,urn:catalog:CM:Herps:117019,PhysicalObject,NA,117019,NA,NA,CM,NA,http://vertnet.org/resources/norms.html,NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,1,0,"DAVIDSON, ROBERT L ET AL",whole animal in alcohol,urn:lsid:biocol.org:col:34702,NA,NA,NA,degrees minutes seconds,NA,NA,NA,3294,2017-08-16T00:00:00.000+00:00,http://portal.vertnet.org/o/cm/herps?id=117019,NA,NA,NA,South America | Ecuador | Pichincha | 10 KM NW OF PAPALLACTA,NA,NA,NA,NA,NA,NA,NA,NA,South America|Ecuador|Pichincha,09/07/2003 00:00,VertNet Georeferencing Guidelines,requires verification,"Map SA17-4 (Quito) map 1:250,000. IGM Ecuador",assumed on road to Pifo,NA,Elisa Bonaccorso (KUNHM),NA,NA,NA,NA,3980 M,Animalia | Chordata | Amphibia | Anura | BUFONIDAE | ATELOPUS,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.16_1,ECU,Ecuador,Napo,NA,NA,Provincia,Province,15,EC.NA,EC-N,-78.1922178,-0.3432948
8,4912424691,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,gass84,gdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:02.581+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,3500,SOUTH_AMERICA,Cotopaxi,1987,11,29,29/11/1987,333,333,2025-11-25T15:52:02.581+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA1857,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,NA,QCAZA1857,NA,"Límite provincial entre Cotopaxi y Napo, caretera Salcedo-Oriente",4912424691,es,QCAZA,QCAZA1857,PhysicalObject,ec.bio.spp.43074,QCAZA1857,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,300,Erika Bejarano|Luis Coloma|Giovanni Onore|CuradorAmphi,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,Luis Coloma,NA,NA,"ECUADOR: Cotopaxi: Limite entre Cotopaxi y Napo, caretera Salcedo-Oriente.  Altitud: 32003800msnm - Latitud: -1,02 Longitud: -78,42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,5,EC.CT,EC-X,-78.42,-1.02
9,4912424676,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:02.580+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Imbabura,1987,12,1,01/12/1987,335,335,2025-11-25T15:52:02.580+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA1852,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,NA,QCAZA1852,NA,"Mojanda, Laguna de Mojanda",4912424676,es,QCAZA,QCAZA1852,PhysicalObject,ec.bio.spp.43074,QCAZA1852,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,Erika Bejarano|Luis Coloma|Luis Coloma|CuradorAmphi,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,Luis Coloma,NA,NA,"ECUADOR: Imbabura: Mojanda, Lagunas de Mojanda  Latitud: -,67143299999999994654 Longitud: -76,399339999999995143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.11_1,ECU,Ecuador,Imbabura,NA,NA,Provincia,Province,10,EC.IM,EC-I,-78.26776,0.145432
10,4912467464,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:10.043+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Imbabura,1987,12,1,01/12/1987,335,335,2025-11-25T15:52:10.043+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA3153,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,NA,QCAZA3153,NA,"Mojanda, Laguna de Mojanda",4912467464,es,QCAZA,QCAZA3153,PhysicalObject,ec.bio.spp.43074,QCAZA3153,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,Erika Bejarano|Luis Coloma|Luis Coloma|CuradorAmphi,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,Luis Coloma,NA,NA,"ECUADOR: Imbabura: Lagunas de Mojanda.   Latitud: -,67542999999999997485 Longitud: -76,396490000000000009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.19_1,ECU,Ecuador,Pichincha,NA,NA,Provincia,Province,17,EC.PI,EC-P,-78.25606,0.12667
11,4912445641,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,gass84,gdativ,rdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:07.945+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Chimborazo,1986,2,1,01/02/1986,32,32,2025-11-25T15:52:07.945+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA641,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,NA,QCAZA641,NA,"Pie del volcán Chimborazo, vía Ambato - Guaranda",4912445641,es,QCAZA,QCAZA641,PhysicalObject,ec.bio.spp.43074,QCAZA641,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,Erika Bejarano|Luis Coloma|Felipe Campos|CuradorAmphi,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,Luis Coloma,NA,NA,"ECUADOR: Chimborazo: Chimborazo, Chimborazo, Pie del volcán Chimborazo, vía Ambato - Guaranda  Latitud: -1,58 Longitud: -78,81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.5_1,ECU,Ecuador,Chimborazo,NA,NA,Provincia,Province,6,EC.CB,EC-H,-78.81,-1.58
12,4912437488,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:06.725+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Napo,1986,5,1,01/05/1986,121,121,2025-11-25T15:52:06.725+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA384,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,NA,QCAZA384,NA,Páramo de Guamaní,4912437488,es,QCAZA,QCAZA384,PhysicalObject,ec.bio.spp.43074,QCAZA384,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,Erika Bejarano|Luis Coloma|M.E. Ordónez|CuradorAmphi,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,Luis Coloma,NA,NA,"ECUADOR: Pichincha: Páramo de Guamaní.   Latitud: -,67683999999999999719 Longitud: -76,40031999999999357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.16_1,ECU,Ecuador,Napo,NA,NA,Provincia,Province,15,EC.NA,EC-N,-78.19029,-0.359018
