"","key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","projectId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","gadm","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","nucleotideSequence","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","informationWithheld","verbatimEventDate","http...unknown.org.crawl_attempt","http...unknown.org.status","gbifID","collectionCode","verbatimLocality","occurrenceID","taxonID","http...unknown.org.captive_cultivated","catalogNumber","institutionCode","identificationID","name","networkKeys","elevation","institutionKey","collectionKey","datasetID","recordNumber","nomenclaturalCode","locality","language","type","vernacularName","organismID","ownerInstitutionCode","accessRights","collectionID","lifeStage","habitat","individualCount","elevationAccuracy","preparations","institutionID","county","municipality","verbatimCoordinateSystem","disposition","eventTime","occurrenceRemarks","sex","identifiedByIDs.type","identifiedByIDs.value","dynamicProperties","vitality","higherGeography","georeferencedDate","georeferenceProtocol","georeferenceVerificationStatus","georeferenceSources","georeferenceRemarks","coordinatePrecision","georeferencedBy","otherCatalogNumbers","fieldNumber","higherGeographyID","identificationRemarks","verbatimElevation","higherClassification","http...unknown.org.crawlerDwcaCacheTime","http...unknown.org.orphanEndpoint","establishmentMeans","locationRemarks","recordedByIDs.type","recordedByIDs.value","http...unknown.org.code","http...unknown.org.conceptualSchema","http...unknown.org.maxSearchResponseRecords","organismQuantity","organismQuantityType","bibliographicCitation","http...unknown.org.declaredCount","locationAccordingTo","previousIdentifications","waterBody","distanceFromCentroidInMeters","http...unknown.org.license","parentNameUsage","materialEntityID","source","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","x","y"
"1","5209167350","Atelopus ignescens (Cornalia, 1849)","cdround,gass84,colmafu,inmafu","884de5ad-81d2-40e0-a454-171c2d246708","995e1d34-875c-4d1f-9be0-8c714ddb7ad7","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T13:38:15.944+00:00","2026-07-18T16:40:38.507+00:00",393,NA,"PRESERVED_SPECIMEN","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Pichincha",NA,2024,9,29,"2024-09-29",273,273,NA,"2026-07-18T16:40:38.507+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"EC:CJ:14289","none","none",FALSE,"Centro Jambatu - Banco de Vida - Museo",NA,NA,"none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Centro Jambatu de Investigación y Conservación de Anfibios / Fundación Jambatu","EC:CJ:14289",NA,NA,NA,"440",NA,"5209167350","CJ",NA,"EC:CJ:14289","ec.bio.spp.43074",NA,"14289","Fundación Jambatu - CJ",NA,"Atelopus ignescens (Cornalia, 1849)","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",2400,"74884348-0703-4db6-ab49-b378218f5ae5","6c3c2b62-00d0-43dd-b802-029eed5a1f2d","https://doi.org/10.15468/e5ijd1","sc12005","ICZN","Geovanni Farina, San Rafael, Rumiñahui","ES","PhysicalObject","Arlequín jambato negro de páramo","EC:CJ:14289","CJ","CC0 BY NC","https://www.gbif.org/es/grscicoll/institution/74884348-0703-4db6-ab49-b378218f5ae5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.19_1","ECU","Ecuador","Pichincha",NA,NA,"Provincia","Province","17","EC.PI","EC-P",-78.460186,-0.296472
"2","5209169859","Atelopus ignescens (Cornalia, 1849)","gass84,rdativ,colmafu,inmafu","884de5ad-81d2-40e0-a454-171c2d246708","995e1d34-875c-4d1f-9be0-8c714ddb7ad7","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T13:38:15.944+00:00","2026-07-18T16:40:38.616+00:00",393,NA,"PRESERVED_SPECIMEN","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Cotopaxi",NA,2024,9,5,"2024-09-05",249,249,NA,"2026-07-18T16:40:38.616+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"EC:CJ:14072","none","none",FALSE,"Centro Jambatu - Banco de Vida - Museo",NA,NA,"none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Centro Jambatu de Investigación y Conservación de Anfibios / Fundación Jambatu","EC:CJ:14072",NA,NA,NA,"440",NA,"5209169859","CJ",NA,"EC:CJ:14072","ec.bio.spp.43074",NA,"14072","Fundación Jambatu - CJ",NA,"Atelopus ignescens (Cornalia, 1849)","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",2500,"74884348-0703-4db6-ab49-b378218f5ae5","6c3c2b62-00d0-43dd-b802-029eed5a1f2d","https://doi.org/10.15468/e5ijd1",NA,"ICZN","Parroquia Angamarca, Cantón Pujilí","ES","PhysicalObject","Arlequín jambato negro de páramo","EC:CJ:14072","CJ","CC0 BY NC","https://www.gbif.org/es/grscicoll/institution/74884348-0703-4db6-ab49-b378218f5ae5","Adult","Nacida en laboratorio de padres de Angamarca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.6_1","ECU","Ecuador","Cotopaxi",NA,NA,"Provincia","Province","05","EC.CT","EC-X",-78.92961,-1.13214
"3","6061884514","Atelopus ignescens (Cornalia, 1849)","cdc,colmafu,inmafu","d0d8a932-b0cd-43e9-9dc8-fdd9dc7a45a9","2aff7e3c-b965-4039-9188-d5e1a1ca4345","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T10:32:55.175+00:00","2026-07-18T15:08:46.459+00:00",134,NA,"PRESERVED_SPECIMEN","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Cotopaxi",NA,2022,2,26,"2022-02-26",57,57,NA,"2026-07-18T15:08:46.459+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"MZUTI:Anfibios:6021","none","none",FALSE,"Diversidad y evolución de los reptiles del Ecuador","Mónica Páez|Sofia Carvajal|Hugo Andrade|David Parra|Mateo Vega|Laura Gómez William|Millingalli",NA,"none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo MZUTI / Universidad Tecnólogica Indoamérica","MZUTI:Anfibios:6021",NA,NA,NA,"155",NA,"6061884514","MZUTI:Herpetologia:Anfibios",NA,"MZUTI:Anfibios:6021","ec.bio.spp.43074",NA,"6021","Museo MZUTI",NA,"Atelopus ignescens (Cornalia, 1849)",NA,2896,"493fe524-a02f-4552-b8cf-1aa9560d1bc0","19515b90-e326-468a-9efa-2ffb1a066a92",NA,"ZC-0662",NA,"Cantón: Pujilí, Parroquia: Angamarca, Quilaló, Galera, riachuelo (renacuajos Elicio) debajo de la casa de William,","ES","PhysicalObject",NA,NA,"MZUTI","CC0 BY-NC","19515b90-e326-468a-9efa-2ffb1a066a92",NA,NA,NA,0,NA,"493fe524-a02f-4552-b8cf-1aa9560d1bc0",NA,NA,"Grados decimales","En colección",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.6_1","ECU","Ecuador","Cotopaxi",NA,NA,"Provincia","Province","05","EC.CT","EC-X",-78.90865,-1.12689
"4","476471215","Atelopus ignescens (Cornalia, 1849)","colmafu,inmafu","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","b4640710-8e03-11d8-b956-b8a03c50a862","b0f5183c-5ed0-47f4-b75f-65e0c1036cb5","b4640710-8e03-11d8-b956-b8a03c50a862","US","EML","2026-07-14T17:47:44.213+00:00","2026-07-18T21:40:38.691+00:00",727,NA,"PRESERVED_SPECIMEN","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,6115,"SOUTH_AMERICA","Pichincha",NA,1988,1,3,"1988-01-03",3,3,"2024-12-20T16:09:52.000+00:00","2026-07-18T21:40:38.691+00:00","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:A-112992","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"MCZ:Herp:A-112992","none","none",FALSE,NA,"P. Stern","Catalog","none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","NORTH_AMERICA","President and Fellows of Harvard College","MCZ:Herp:A-112992",NA,NA,"3/1/1988-3/1/1988","727",NA,"476471215","Herp","Ecuador, Pichincha Prov., Pasochoa Volcano Forest, approx. 40 km SE of Quito 3950m.","MCZ:Herp:A-112992",NA,NA,"A-112992","MCZ",NA,"Atelopus ignescens (Cornalia, 1849)","68e8e67a-43e6-44a3-8817-dc0e6b70f973,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",3950,"1cfca87c-083e-4d67-8e60-cb7d311f6058","b2a3198c-ca1b-40e5-890f-46b4021d623b",NA,NA,"ICZN","Pasochoa Volcano Forest, approx 40 km SE of Quito",NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,1,0,"whole animal (ethanol)","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"decimal degrees","unknown",NA,NA,NA,NA,NA,NA,NA,"South America: Ecuador: Pichincha",NA,"MaNIS/HerpNET/ORNIS Georeferencing Guidelines","unverified","Alexandria Digital Library",NA,1e-05,"Elisa Bonaccorso","field number=MCZ FS-Z33674|muse location number=ZA112991","MCZ FS-Z33674","http://vocab.getty.edu/tgn/1001487","OCE 12-20.x.89 by FDRoss","3950-3950 m","Animalia Chordata Amphibia Lissamphibia Anura Bufonoidea Bufonidae Atelopus ignescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.19_1","ECU","Ecuador","Pichincha",NA,NA,"Provincia","Province","17","EC.PI","EC-P",-78.48333,-0.43333
"5","4912439208","Atelopus ignescens (Cornalia, 1849)","cdc,conti","7b20c426-defe-45ff-82a2-bb00141e1e8f","e62f0c10-13a1-4306-bdad-1e0a4c27d0d0","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T09:06:33.788+00:00","2026-07-18T17:54:41.756+00:00",93,NA,"MATERIAL_SAMPLE","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Napo",NA,1988,3,30,"1988-03-30",90,90,NA,"2026-07-18T17:54:41.756+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"QCAZA275","none","none",FALSE,"Bioweb","Erika Bejarano|Felipe Campos|CuradorAmphi",NA,"none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Zoología QCAZ","QCAZA275",NA,NA,NA,"98","RESCUED","4912439208","QCAZA","ECUADOR: Napo: Oyacachi.  Altitud: 3200msnm - Latitud: -,67552999999999996383 Longitud: -76,396500000000003183","QCAZA275","ec.bio.spp.43074",NA,"QCAZA275","QCAZ",NA,"Atelopus ignescens (Cornalia, 1849)","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",3200,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99","ab011792-e14a-4040-bf6e-04e2820bebad","doi:10.60545/ejgu3c",NA,NA,"Oyacachi","es","PhysicalObject","Jambato toad",NA,"QCAZ",NA,"ab011792-e14a-4040-bf6e-04e2820bebad",NA,NA,NA,0,NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99",NA,NA,NA,"En colección","00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3200",NA,"2024-10-28T21:40:51Z","https://patrimonio.ambiente.gob.ec/iptmae/archive.do?r=a5a6e882-b3ce-4e24-b337-33b4295d0620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.16_1","ECU","Ecuador","Napo",NA,NA,"Provincia","Province","15","EC.NA","EC-N",-78.08767,-0.212816
"6","4912440282","Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ","7b20c426-defe-45ff-82a2-bb00141e1e8f","e62f0c10-13a1-4306-bdad-1e0a4c27d0d0","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T09:06:33.788+00:00","2026-07-18T17:54:41.360+00:00",93,NA,"MATERIAL_SAMPLE","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Pichincha",NA,1987,6,1,"1987-06-01",152,152,NA,"2026-07-18T17:54:41.360+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"QCAZA773","none","none",FALSE,"Bioweb","Erika Bejarano|G. Medina|CuradorAmphi",NA,"none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Zoología QCAZ","QCAZA773",NA,NA,NA,"98","RESCUED","4912440282","QCAZA","ECUADOR: Pichincha: Guamani.   Latitud: -,67683999999999999719 Longitud: -76,40031999999999357","QCAZA773","ec.bio.spp.43074",NA,"QCAZA773","QCAZ",NA,"Atelopus ignescens (Cornalia, 1849)","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",4141,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99","ab011792-e14a-4040-bf6e-04e2820bebad","doi:10.60545/ejgu3c",NA,NA,"Páramo de Guamaní","es","PhysicalObject","Jambato toad",NA,"QCAZ",NA,"ab011792-e14a-4040-bf6e-04e2820bebad",NA,NA,NA,0,NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99",NA,NA,NA,"En colección","00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4141",NA,"2024-10-28T21:40:51Z","https://patrimonio.ambiente.gob.ec/iptmae/archive.do?r=a5a6e882-b3ce-4e24-b337-33b4295d0620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.19_1","ECU","Ecuador","Pichincha",NA,NA,"Provincia","Province","17","EC.PI","EC-P",-78.20153,-0.32692
"7","786442117","Atelopus ignescens (Cornalia, 1849)","cdrep,colmafu,inmafu","76dd8f0d-2daa-4a69-9fcd-55e04230334a","c1da06f0-580e-11dc-8a9e-b8a03c50a862","a957a663-2f17-415f-b1c8-5cf6398df8ed","2053a639-84c3-4be5-b8bc-96b6d88a976c","US","EML","2026-07-14T11:09:28.105+00:00","2026-07-18T23:32:08.122+00:00",427,NA,"PRESERVED_SPECIMEN","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,3294,"SOUTH_AMERICA","Pichincha",NA,1987,10,10,"1987-10-10",283,283,"2017-08-16T00:00:00.000+00:00","2026-07-18T23:32:08.122+00:00","http://portal.vertnet.org/o/cm/herps?id=117019","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"urn:catalog:CM:Herps:117019","none","none",FALSE,NA,"DAVIDSON, ROBERT L ET AL",NA,"none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","NORTH_AMERICA",NA,"urn:catalog:CM:Herps:117019",NA,NA,NA,"438",NA,"786442117","Herps","South America | Ecuador | Pichincha | 10 KM NW OF PAPALLACTA","urn:catalog:CM:Herps:117019",NA,NA,"117019","CM",NA,"Atelopus ignescens (Cornalia, 1849)","68e8e67a-43e6-44a3-8817-dc0e6b70f973,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",3980,"c529f324-701e-45e4-82b7-10587cdb56e8","1433e223-80a8-452c-8a13-811fa89bbb70",NA,NA,"ICZN","10 KM NW OF PAPALLACTA","en","PhysicalObject",NA,NA,NA,"http://vertnet.org/resources/norms.html",NA,NA,NA,1,0,"whole animal in alcohol","urn:lsid:biocol.org:col:34702",NA,NA,"degrees minutes seconds",NA,NA,NA,NA,NA,NA,NA,NA,"South America|Ecuador|Pichincha","9/7/2003 0:00:00","VertNet Georeferencing Guidelines","requires verification","Map SA17-4 (Quito) map 1:250,000. IGM Ecuador","assumed on road to Pifo",NA,"Elisa Bonaccorso (KUNHM)",NA,NA,NA,NA,"3980 M","Animalia | Chordata | Amphibia | Anura | BUFONIDAE | ATELOPUS",NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.16_1","ECU","Ecuador","Napo",NA,NA,"Provincia","Province","15","EC.NA","EC-N",-78.1922179,-0.3432949
"8","4912424691","Atelopus ignescens (Cornalia, 1849)","cdc,conti,gass84,gdativ","7b20c426-defe-45ff-82a2-bb00141e1e8f","e62f0c10-13a1-4306-bdad-1e0a4c27d0d0","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T09:06:33.788+00:00","2026-07-18T17:54:45.643+00:00",93,NA,"MATERIAL_SAMPLE","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Cotopaxi",NA,1987,11,29,"1987-11-29",333,333,NA,"2026-07-18T17:54:45.643+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"QCAZA1857","none","none",FALSE,"Bioweb","Erika Bejarano|Luis Coloma|Giovanni Onore|CuradorAmphi","Luis Coloma","none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Zoología QCAZ","QCAZA1857",NA,NA,NA,"98","RESCUED","4912424691","QCAZA","ECUADOR: Cotopaxi: Limite entre Cotopaxi y Napo, caretera Salcedo-Oriente.  Altitud: 32003800msnm - Latitud: -1,02 Longitud: -78,42","QCAZA1857","ec.bio.spp.43074",NA,"QCAZA1857","QCAZ",NA,"Atelopus ignescens (Cornalia, 1849)","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",3500,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99","ab011792-e14a-4040-bf6e-04e2820bebad","doi:10.60545/ejgu3c",NA,NA,"Límite provincial entre Cotopaxi y Napo, caretera Salcedo-Oriente","es","PhysicalObject","Jambato toad",NA,"QCAZ",NA,"ab011792-e14a-4040-bf6e-04e2820bebad",NA,NA,NA,300,NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99",NA,NA,NA,"En colección","00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3200",NA,"2024-10-28T21:40:51Z","https://patrimonio.ambiente.gob.ec/iptmae/archive.do?r=a5a6e882-b3ce-4e24-b337-33b4295d0620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.6_1","ECU","Ecuador","Cotopaxi",NA,NA,"Provincia","Province","05","EC.CT","EC-X",-78.42,-1.02
"9","4912424676","Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ","7b20c426-defe-45ff-82a2-bb00141e1e8f","e62f0c10-13a1-4306-bdad-1e0a4c27d0d0","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T09:06:33.788+00:00","2026-07-18T17:54:29.475+00:00",93,NA,"MATERIAL_SAMPLE","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Imbabura",NA,1987,12,1,"1987-12-01",335,335,NA,"2026-07-18T17:54:29.475+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"QCAZA1852","none","none",FALSE,"Bioweb","Erika Bejarano|Luis Coloma|Luis Coloma|CuradorAmphi","Luis Coloma","none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Zoología QCAZ","QCAZA1852",NA,NA,NA,"98","RESCUED","4912424676","QCAZA","ECUADOR: Imbabura: Mojanda, Lagunas de Mojanda  Latitud: -,67143299999999994654 Longitud: -76,399339999999995143","QCAZA1852","ec.bio.spp.43074",NA,"QCAZA1852","QCAZ",NA,"Atelopus ignescens (Cornalia, 1849)","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99","ab011792-e14a-4040-bf6e-04e2820bebad","doi:10.60545/ejgu3c",NA,NA,"Mojanda, Laguna de Mojanda","es","PhysicalObject","Jambato toad",NA,"QCAZ",NA,"ab011792-e14a-4040-bf6e-04e2820bebad",NA,NA,NA,NA,NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99",NA,NA,NA,"En colección","00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-28T21:40:51Z","https://patrimonio.ambiente.gob.ec/iptmae/archive.do?r=a5a6e882-b3ce-4e24-b337-33b4295d0620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.11_1","ECU","Ecuador","Imbabura",NA,NA,"Provincia","Province","10","EC.IM","EC-I",-78.26776,0.145432
"10","4912467464","Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ","7b20c426-defe-45ff-82a2-bb00141e1e8f","e62f0c10-13a1-4306-bdad-1e0a4c27d0d0","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2026-07-16T09:06:33.788+00:00","2026-07-18T17:54:42.546+00:00",93,NA,"MATERIAL_SAMPLE","PRESENT",5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)","Animalia","Chordata","Anura","Bufonidae","Atelopus","Atelopus ignescens","Atelopus","ignescens","SPECIES","ACCEPTED","CR",NA,NA,"SOUTH_AMERICA","Imbabura",NA,1987,12,1,"1987-12-01",335,335,NA,"2026-07-18T17:54:42.546+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"QCAZA3153","none","none",FALSE,"Bioweb","Erika Bejarano|Luis Coloma|Luis Coloma|CuradorAmphi","Luis Coloma","none","WGS84","Amphibia","ECU","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Zoología QCAZ","QCAZA3153",NA,NA,NA,"98","RESCUED","4912467464","QCAZA","ECUADOR: Imbabura: Lagunas de Mojanda.   Latitud: -,67542999999999997485 Longitud: -76,396490000000000009","QCAZA3153","ec.bio.spp.43074",NA,"QCAZA3153","QCAZ",NA,"Atelopus ignescens (Cornalia, 1849)","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99","ab011792-e14a-4040-bf6e-04e2820bebad","doi:10.60545/ejgu3c",NA,NA,"Mojanda, Laguna de Mojanda","es","PhysicalObject","Jambato toad",NA,"QCAZ",NA,"ab011792-e14a-4040-bf6e-04e2820bebad",NA,NA,NA,NA,NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99",NA,NA,NA,"En colección","00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-28T21:40:51Z","https://patrimonio.ambiente.gob.ec/iptmae/archive.do?r=a5a6e882-b3ce-4e24-b337-33b4295d0620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbif","ECU.19_1","ECU","Ecuador","Pichincha",NA,NA,"Provincia","Province","17","EC.PI","EC-P",-78.25606,0.12667
