Id, Cod de Campo,Transecto,Sexo,Edad,Fecha
AI001,MCV-Ai-002-28,T4,M,Juv,28-08-2023
AI002,MCV-Ai-004-28,T2,M,Adu,28-08-2023
AI003,MCV-Ai-001-29,T6,I,Met,29-08-2023
AI004,MCV-Ai-003-29,T1,H,Juv,29-08-2023
AI005,MCV-Ai-001-30,T6,H,Juv,30-08-2023
AI006,MCV-Ai-003-2509,T5,I,Met,25-09-2023
AI007,MCV-Ai-002-2509,T6,H,Juv,25-09-2023
AI008,MCV-Ai-001-2609,T1,H,Adu,26-09-2023
AI009,MCV-Ai-002-2809,T2,H,Adu,28-09-2023
AI010,MCV-Ai-001-2210,T4,I,Met,22-10-2023
AI011,MCV-Ai-001-2310,T6,H,Juv,23-10-2023
AI012,MCV-Ai-001-2410,T4,I,Met,24-10-2023
AI013,MCV-Ai-002-2410,T6,I,Met,24-10-2023
AI014,MCV-Ai-001-2610,T6,H,Juv,26-10-2023
AI015,MCV-Ai-002-2610,T6,I,Met,26-10-2023
AI016,MCV-Ai-004-2610,T5,H,Adu,26-10-2023
AI017,MCV-Ai-002-2011,T6,M,Juv,20-11-2023
AI018,MCV-Ai-003-2011,T4,M,Adu,20-11-2023
AI019,MCV-Ai-001-2211,T4,H,Adu,22-11-2023
AI020,MCV-Ai-003-2211,T6,H,Adu,22-11-2023
AI021,MCV-Ai-003-2411,T5,H,Adu,24-11-2023
AI022,MCV-Ai-001-151223,T2,H,Adu,15-12-2023
AI023,MCV-Ai-002-151223,T4,I,Met,15-12-2023
AI024,MCV-Ai-001-201223,T5,H,Adu,20-12-2023
AI025,MCV-Ai-002-201223,T5,H,Adu,20-12-2023
AI026,MCV-Ai-001-2302,T4,M,Adu,23-02-2024
AI024,MCV-Ai-001-240224,T5,H,Adu,24-02-2024
AI027,MCV-Ai-002-240224,T6,H,Adu,24-02-2024
AI028,MCV-Ai-003-240224,T6,M,Adu,24-02-2024
AI029,MCV-Ai-001-260224,T5,M,Adu,26-02-2024
AI030,MCV-Ai-002-260224,T5,H,Adu,26-02-2024
AI024,MCV-Ai-003-260224,T5,H,Adu,26-02-2024
AI031,MCV-Ai-001-300324,T5,H,Adu,30-03-2024
AI024,MCV-Ai-002-300324,T5,H,Adu,30-03-2024
AI032,MCV-Ai-001-310324,T6,H,Adu,31-03-2024
AI033,MCV-Ai-001-010424,T1,H,Adu,01-04-2024
AI034,MCV-Ai-002-010424,T5,H,Adu,01-04-2024
AI035,MCV-Ai-001-020424,T4,H,Adu,02-04-2024
AI036,MCV-Ai-002-250424,T3,H,Adu,25-04-2024
AI037,MCV-Ai-001-260424,T5,M,Adu,26-04-2024
AI038,MCV-Ai-002-260424,T6,M,Adu,26-04-2024
AI039,MCV-Ai-001-280424,T6,M,Adu,28-04-2024
AI040,MCV-Ai-002-280424,T5,H,Adu,28-04-2024
AI041,MCV-Ai-001-290424,T2,H,Adu,29-04-2024
AI042,MCV-Ai-001-3004,T4,I,Adu,30-04-2024
AI043,MCV-Ai-002-300424,T5,H,Adu,30-04-2024
AI034,MCV-Ai-001-050624,T5,H,Adu,05-06-2024
AI044,MCV-Ai-002-050624,T6,M,Adu,05-06-2024
AI045,MCV-Ai-001-090624,T6,H,Adu,09-06-2024
AI046,MCV-Ai-002-090624,T4,H,Adu,09-06-2024
AI047,MCV-Ai-001-280624,T5,H,Adu,28-06-2024
AI048,MCV-Ai-001-290624,T2,H,Adu,29-06-2024
AI049,MCV-Ai-001-300624,T5,H,Adu,30-06-2024
AI047,MCV-Ai-001-0207,T5,H,Adu,02-07-2024
AI043,MCV-Ai-001-0307,T4,H,Adu,03-07-2024
AI050,MAR-Ai-001-250724,T6,H,Adu,25-07-2024
AI051,MAR-Ai-001-040924,T6,I,Juv,04-09-2024
AI052,MAR-Ai-002-040924,T4,I,Met,04-09-2024
AI053,MAR-Ai-001-050924,T6,H,Adu,05-09-2024
AI054,MCV-Ai-001-210125,T6,M,Adu,21-01-2025
AI055,MCV-Ai-003-210125,T4,H,Adu,21-01-2025
AI056,MCV-Ai-001-220125,T1,M,Adu,22-01-2025
AI057,MCV-Ai-001-230125,T5,H,Adu,23-01-2025
AI058,MCV-Ai-002-230125,T5,H,Adu,23-01-2025
AI059,MCV-Ai-002-220225,T5,H,Adu,22-02-2025
AI060,MCV-Ai-001-230225,T3,H,Adu,23-02-2025
AI061,MCV-Ai-002-240225,T6,M,Adu,24-02-2025
AI062,MCV-Ai-001-250225,T3,M,Adu,25-02-2025
AI063,MCV-Ai-002-220325,T5,H,Juv,22-03-2025
AI064,MCV-Ai-001-240325,T5,H,Adu,24-03-2025
AI065,MCV-Ai-001-260325,T5,H,Adu,26-03-2025
AI066,MCV-Ai-003-260325,T6,M,Adu,26-03-2025
AI067,MCV-Ai-001-290425,T5,M,Adu,29-04-2025
AI068,MCV-Ai-002-290425,T5,H,Adu,29-04-2025
AI069,MCV-Ai-001-300525,T5,H,Adu,30-05-2025
AI070,MCV-Ai-001-260525,T5,H,Adu,26-06-2025
AI071,MCV-Ai-002-300625,T6,H,Adu,30-06-2025
