"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2023-12-31T23:55:00-05:00,2023-12-31 23:55:00,11.7,11.7,11.3,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014,97,0,0,16.6,78,1,735.7,1,16.6,12.8
2023-12-31T23:50:00-05:00,2023-12-31 23:50:00,11.8,11.8,11.5,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.2,98,0,0,16.7,78,1,735.9,1,16.7,12.9
2023-12-31T23:45:00-05:00,2023-12-31 23:45:00,11.8,11.8,11.5,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.1,98,0,0,16.7,79,1,735.8,1,16.7,13.1
2023-12-31T23:40:00-05:00,2023-12-31 23:40:00,11.8,11.8,11.5,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.2,98,0,0,16.9,80,1,735.9,1,16.9,13.4
2023-12-31T23:35:00-05:00,2023-12-31 23:35:00,11.7,11.7,11.4,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.3,98,0,0,17,81,1,736,1,17,13.7
2023-12-31T23:30:00-05:00,2023-12-31 23:30:00,11.9,11.9,11.7,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.3,99,0,0,17.1,83,1,736,1,17.1,14.2
2023-12-31T23:25:00-05:00,2023-12-31 23:25:00,12,12,11.8,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.3,99,0,0,17.1,83,1,736,1,17.1,14.2
2023-12-31T23:20:00-05:00,2023-12-31 23:20:00,12,12,11.8,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.3,99,0,0,17.1,83,1,736,1,17.1,14.2
2023-12-31T23:15:00-05:00,2023-12-31 23:15:00,12.1,12.1,12,0,0,11.2,170,0,3.5,3.5,109.7,218.9,1014.4,99,0,0,17.1,83,1,736.1,1,17.1,14.2
2023-12-31T23:10:00-05:00,2023-12-31 23:10:00,12,12,11.8,0,0,11.2,171,0,3.5,3.5,109.7,218.9,1014.4,99,0,0,17.2,82,1,736.1,1,17.2,14.1
2023-12-31T23:05:00-05:00,2023-12-31 23:05:00,12,12,11.8,0,0,11.2,165,0,3.5,3.5,109.7,218.9,1014.5,99,0,0,17.1,82,1,736.2,1,17.1,14
2023-12-31T23:00:00-05:00,2023-12-31 23:00:00,12.1,12.1,12,0,0,11.2,168,0,3.5,3.5,109.7,218.9,1014.4,99,0,0,17.1,81,1,736.1,1,17.1,13.8
2023-12-31T22:55:00-05:00,2023-12-31 22:55:00,12.1,12.1,12,0,0,11.2,174,0,3.5,3.5,109.7,218.9,1014.6,99,0,0,17.1,81,1,736.3,1,17.1,13.8
2023-12-31T22:50:00-05:00,2023-12-31 22:50:00,12.1,12.1,12,0,0,11.2,174,0,3.5,3.5,109.7,218.9,1014.5,99,0,0,17.1,80,1,736.2,1,17.1,13.6
2023-12-31T22:45:00-05:00,2023-12-31 22:45:00,12.1,12.1,12,0,0,11.2,174,0,3.5,3.5,109.7,218.9,1014.7,99,0,0,17.1,80,1,736.4,1,17.1,13.6
2023-12-31T22:40:00-05:00,2023-12-31 22:40:00,12.1,12.1,12,0,0,11.2,174,0,3.5,3.5,109.7,218.9,1014.9,99,0,0,17.1,80,1,736.6,1,17.1,13.6
2023-12-31T22:35:00-05:00,2023-12-31 22:35:00,12.1,12.1,12,0,0,11.2,174,0,3.5,3.5,109.7,218.9,1014.8,99,0,0,17.2,80,1,736.5,1,17.2,13.7
2023-12-31T22:30:00-05:00,2023-12-31 22:30:00,12.1,12.1,12,0,0,11.2,174,0,3.5,3.5,109.7,218.9,1014.9,99,0,0,17.2,80,1,736.6,1,17.2,13.7
2023-12-31T22:25:00-05:00,2023-12-31 22:25:00,12.1,12.1,12,0,0,11.2,174,0,3.5,3.5,109.7,218.9,1014.9,99,0,0,17.1,81,1,736.6,1,17.1,13.8
2023-12-31T22:20:00-05:00,2023-12-31 22:20:00,12.1,12.1,12,0,0,11.2,175,0,3.5,3.5,109.7,218.9,1014.8,99,0,0,17.1,81,1,736.5,1,17.1,13.8
2023-12-31T22:15:00-05:00,2023-12-31 22:15:00,12.2,12.2,12.1,0,0,11.2,175,0,3.5,3.5,109.7,218.9,1014.9,99,0,0,17,81,1,736.6,1,17,13.7
2023-12-31T22:10:00-05:00,2023-12-31 22:10:00,12.2,12.2,12.1,0,0,11.2,218,1.2,3.5,3.5,109.7,218.9,1014.9,99,0,0,17,80,1,736.6,1,17,13.5
