"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-02-29T23:55:00-05:00,2024-02-29 23:55:00,11.6,11.6,11.5,0,0,13,165,0,10.4,84.4,163.6,449.1,1013.8,99,0,0,15.1,79,1,735.5,1,15.1,11.5
2024-02-29T23:50:00-05:00,2024-02-29 23:50:00,11.7,11.7,11.6,0,0,13,165,0,10.4,84.4,163.6,449.1,1013.8,99,0,0,15.1,79,1,735.5,1,15.1,11.5
2024-02-29T23:45:00-05:00,2024-02-29 23:45:00,11.7,11.7,11.6,0,0,13,165,0,10.4,84.4,163.6,449.1,1013.9,99,0,0,15.1,79,1,735.6,1,15.1,11.5
2024-02-29T23:40:00-05:00,2024-02-29 23:40:00,11.8,11.8,11.6,1.1,1.8,13,165,0,10.4,84.4,163.6,449.1,1013.9,99,0,0,15.2,79,1,735.6,1,15.2,11.6
2024-02-29T23:35:00-05:00,2024-02-29 23:35:00,11.8,11.8,11.6,0,0,13,165,0,10.4,84.4,163.6,449.1,1014.2,99,0,0,15.2,79,1,735.9,1,15.2,11.6
2024-02-29T23:30:00-05:00,2024-02-29 23:30:00,11.9,11.9,11.7,0,0,13,215,0,10.4,84.4,163.6,449.1,1014.1,99,0,0,15.2,79,1,735.8,1,15.2,11.6
2024-02-29T23:25:00-05:00,2024-02-29 23:25:00,11.9,11.9,11.7,0,0,13,216,0,10.4,84.4,163.6,449.1,1014.2,99,0,0,15.3,79,1,735.9,1,15.3,11.7
2024-02-29T23:20:00-05:00,2024-02-29 23:20:00,11.9,11.9,11.7,0,0,13,215,0,10.4,84.4,163.6,449.1,1014.2,99,0,0,15.3,79,1,735.9,1,15.3,11.7
2024-02-29T23:15:00-05:00,2024-02-29 23:15:00,11.9,11.9,11.7,0,0,13,208,0,10.4,84.4,163.6,449.1,1014.2,99,0,0,15.3,79,1,735.9,1,15.3,11.7
2024-02-29T23:10:00-05:00,2024-02-29 23:10:00,11.9,11.9,11.7,0,0,13,233,0,10.4,84.4,163.6,449.1,1014.2,99,0,0,15.3,79,1,735.9,1,15.3,11.7
2024-02-29T23:05:00-05:00,2024-02-29 23:05:00,11.9,11.9,11.7,0,0,13,226,1.8,10.4,84.4,163.6,449.1,1014.3,99,0,0,15.3,79,1,736,1,15.3,11.7
2024-02-29T23:00:00-05:00,2024-02-29 23:00:00,11.7,11.7,11.6,3.6,3.6,13,236,3,10.4,84.4,163.6,449.1,1014.3,99,0,0,15.3,79,1,736,1,15.3,11.7
2024-02-29T22:55:00-05:00,2024-02-29 22:55:00,11.8,11.8,11.6,0.7,1.8,13,221,3,10.1,84.1,163.3,448.8,1014,99,0,0,15.3,79,1,735.7,1,15.3,11.7
2024-02-29T22:50:00-05:00,2024-02-29 22:50:00,12,12,11.8,0.4,1.8,13,245,3,9.9,83.9,163.1,448.6,1013.9,99,0,0,15.4,79,1,735.6,1,15.4,11.8
2024-02-29T22:45:00-05:00,2024-02-29 22:45:00,12,12,11.8,0,0,13,233,3,9.6,83.6,162.8,448.3,1014,99,0,0,15.4,79,1,735.7,1,15.4,11.8
2024-02-29T22:40:00-05:00,2024-02-29 22:40:00,12.1,12.1,12,0,0,13,175,3.6,9.4,83.4,162.6,448.1,1014,99,0,0,15.4,79,1,735.7,1,15.4,11.8
2024-02-29T22:35:00-05:00,2024-02-29 22:35:00,12.1,12.1,12,0,0,13,175,4.8,9.1,83.1,162.3,447.8,1014,99,0,0,15.4,79,1,735.7,1,15.4,11.8
2024-02-29T22:30:00-05:00,2024-02-29 22:30:00,12.2,12.2,12.1,0,0,13,175,4.2,8.8,82.8,162,447.5,1014,99,0,0,15.4,79,1,735.7,1,15.4,11.8
2024-02-29T22:25:00-05:00,2024-02-29 22:25:00,12.1,12.1,12,0,0,13,193,4.2,8.3,82.3,161.5,447,1014.1,99,0,0,15.5,79,1,735.8,1,15.5,11.9
2024-02-29T22:20:00-05:00,2024-02-29 22:20:00,12.1,12.1,12,0,0,13,213,6,8.1,82.1,161.3,446.8,1014.3,99,0,0,15.5,79,1,736,1,15.5,11.9
2024-02-29T22:15:00-05:00,2024-02-29 22:15:00,12.1,12.1,12,0,0,13,188,6,7.6,81.6,160.8,446.3,1014.1,99,0,0,15.5,79,1,735.8,1,15.5,11.9
2024-02-29T22:10:00-05:00,2024-02-29 22:10:00,12.2,12.2,12.1,1.4,1.8,13,218,4.8,7.1,81.1,160.3,445.8,1014.3,99,0,0,15.5,79,1,736,1,15.5,11.9
2024-02-29T22:05:00-05:00,2024-02-29 22:05:00,12.2,12.2,12.1,0.4,1.8,13,206,6.6,6.6,80.6,159.8,445.3,1014.1,99,0,0,15.5,79,1,735.8,1,15.5,11.9
2024-02-29T22:00:00-05:00,2024-02-29 22:00:00,12.3,12.3,12.1,1.8,1.8,13,214,7.8,6.3,80.3,159.5,445,1014,99,0,0,15.6,79,1,735.7,1,15.6,12
2024-02-29T21:55:00-05:00,2024-02-29 21:55:00,12.3,12.3,12.1,0.4,1.8,13,220,6,5.8,79.8,159,444.5,1013.8,99,0,0,15.6,79,1,735.5,1,15.6,12
2024-02-29T21:50:00-05:00,2024-02-29 21:50:00,12.3,12.3,12.1,0.7,1.8,13,220,4.8,5.3,79.3,158.5,444,1013.6,99,0,0,15.6,79,1,735.3,1,15.6,12
2024-02-29T21:45:00-05:00,2024-02-29 21:45:00,12.4,12.4,12.2,0,0,13,220,4.8,4.8,78.8,158,443.5,1013.5,99,0,0,15.6,78,1,735.2,1,15.6,11.8
2024-02-29T21:40:00-05:00,2024-02-29 21:40:00,12.4,12.4,12.2,0,0,13,220,4.2,4.5,78.5,157.7,443.2,1013.5,99,0,0,15.7,78,1,735.2,1,15.7,11.9
2024-02-29T21:35:00-05:00,2024-02-29 21:35:00,12.4,12.4,12.2,0,0,13,220,4.2,4,78,157.2,442.7,1013.2,99,0,0,15.7,78,1,734.9,1,15.7,11.9
2024-02-29T21:30:00-05:00,2024-02-29 21:30:00,12.3,12.3,12.1,0,0,13,219,6,3.8,77.8,157,442.5,1013.3,99,0,0,15.7,78,1,735,1,15.7,11.9
2024-02-29T21:25:00-05:00,2024-02-29 21:25:00,12.3,12.3,12.1,0,0,13,218,6.6,3.3,77.3,156.5,442,1013.3,99,0,0,15.8,78,1,735,1,15.8,11.9
2024-02-29T21:20:00-05:00,2024-02-29 21:20:00,12.3,12.3,12.1,0,0,13,219,6.6,2.8,76.8,156,441.5,1013.2,99,0,0,15.8,78,1,734.9,1,15.8,11.9
2024-02-29T21:15:00-05:00,2024-02-29 21:15:00,12.3,12.3,12.1,0,0,13,219,6,2.2,76.2,155.4,440.9,1013.3,99,0,0,15.8,78,1,735,1,15.8,11.9
2024-02-29T21:10:00-05:00,2024-02-29 21:10:00,12.4,12.4,12.2,0,0,13,210,4.2,1.7,75.7,154.9,440.4,1013.2,99,0,0,15.8,78,1,734.9,1,15.8,11.9
2024-02-29T21:05:00-05:00,2024-02-29 21:05:00,12.4,12.4,12.2,0,0,13,184,1.2,1.2,75.2,154.4,439.9,1013.4,99,0,0,15.8,78,1,735.1,1,15.8,11.9
2024-02-29T21:00:00-05:00,2024-02-29 21:00:00,12.4,12.4,12.2,0,0,13,209,0,1,75,154.2,439.7,1013.1,99,0,0,15.8,78,1,734.8,1,15.8,11.9
2024-02-29T20:55:00-05:00,2024-02-29 20:55:00,12.4,12.4,12.2,0,0,13,209,0,1,75,154.2,439.7,1013.3,99,0,0,15.9,78,1,735,1,15.9,12.1
2024-02-29T20:50:00-05:00,2024-02-29 20:50:00,12.3,12.3,12.1,0,0,13,209,0,1,75,154.2,439.7,1013,99,0,0,15.8,78,1,734.7,1,15.8,11.9
2024-02-29T20:45:00-05:00,2024-02-29 20:45:00,12.4,12.4,12.2,0,0,13,209,0,1,75,154.2,439.7,1013.1,99,0,0,15.8,78,1,734.8,1,15.8,11.9
2024-02-29T20:40:00-05:00,2024-02-29 20:40:00,12.3,12.3,12.1,0,0,13,209,0,1,75,154.2,439.7,1013,99,0,0,15.9,78,1,734.7,1,15.9,12.1
2024-02-29T20:35:00-05:00,2024-02-29 20:35:00,12.4,12.4,12.2,0,0,13,209,0,1,75,154.2,439.7,1012.8,99,0,0,15.9,78,1,734.5,1,15.9,12.1
2024-02-29T20:30:00-05:00,2024-02-29 20:30:00,12.4,12.4,12.2,0,0,13,210,0,1,75,154.2,439.7,1012.9,99,0,0,15.9,78,1,734.6,1,15.9,12.1
2024-02-29T20:25:00-05:00,2024-02-29 20:25:00,12.4,12.4,12.2,0,0,13,210,0,1,75,154.2,439.7,1013.1,99,0,0,15.9,78,1,734.8,1,15.9,12.1
