"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-03-31T23:55:00-05:00,2024-03-31 23:55:00,11.5,11.5,11.3,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.1,99,0,0,16.3,68,1,735.8,1,16.3,10.3
2024-03-31T23:50:00-05:00,2024-03-31 23:50:00,11.5,11.5,11.3,0,0,14.8,219,0,3.3,3.3,41.9,491,1013.8,99,0,0,16.4,68,1,735.5,1,16.4,10.4
2024-03-31T23:45:00-05:00,2024-03-31 23:45:00,11.5,11.5,11.3,0,0,14.8,219,0,3.3,3.3,41.9,491,1013.7,99,0,0,16.4,68,1,735.4,1,16.4,10.4
2024-03-31T23:40:00-05:00,2024-03-31 23:40:00,11.5,11.5,11.2,0,0,14.8,219,0,3.3,3.3,41.9,491,1013.9,98,0,0,16.4,67,1,735.6,1,16.4,10.2
2024-03-31T23:35:00-05:00,2024-03-31 23:35:00,11.6,11.6,11.5,0,0,14.8,219,0,3.3,3.3,41.9,491,1014,99,0,0,16.4,67,1,735.7,1,16.4,10.2
2024-03-31T23:30:00-05:00,2024-03-31 23:30:00,11.6,11.6,11.3,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.5,67,1,735.8,1,16.5,10.3
2024-03-31T23:25:00-05:00,2024-03-31 23:25:00,11.6,11.6,11.3,0,0,14.8,219,0,3.3,3.3,41.9,491,1014,98,0,0,16.5,67,1,735.7,1,16.5,10.3
2024-03-31T23:20:00-05:00,2024-03-31 23:20:00,11.7,11.7,11.4,0,0,14.8,219,0,3.3,3.3,41.9,491,1014,98,0,0,16.5,67,1,735.7,1,16.5,10.3
2024-03-31T23:15:00-05:00,2024-03-31 23:15:00,11.7,11.7,11.4,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.5,67,1,735.8,1,16.5,10.3
2024-03-31T23:10:00-05:00,2024-03-31 23:10:00,11.7,11.7,11.4,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.6,67,1,735.8,1,16.6,10.4
2024-03-31T23:05:00-05:00,2024-03-31 23:05:00,11.7,11.7,11.4,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.2,98,0,0,16.6,67,1,735.9,1,16.6,10.4
2024-03-31T23:00:00-05:00,2024-03-31 23:00:00,11.7,11.7,11.4,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.6,67,1,735.8,1,16.6,10.4
2024-03-31T22:55:00-05:00,2024-03-31 22:55:00,11.8,11.8,11.5,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.6,67,1,735.8,1,16.6,10.4
2024-03-31T22:50:00-05:00,2024-03-31 22:50:00,11.8,11.8,11.5,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.2,98,0,0,16.7,67,1,735.9,1,16.7,10.6
2024-03-31T22:46:00-05:00,2024-03-31 22:46:00,11.8,11.8,11.5,0,0,14.8,219,0,3.3,3.3,41.9,491,1014,98,0,0,16.7,67,1,735.7,1,16.7,10.6
2024-03-31T22:40:00-05:00,2024-03-31 22:40:00,11.8,11.8,11.5,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.2,98,0,0,16.7,67,1,735.9,1,16.7,10.6
2024-03-31T22:35:00-05:00,2024-03-31 22:35:00,11.9,11.9,11.6,0,0,14.8,219,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.8,67,1,735.8,1,16.8,10.6
2024-03-31T22:30:00-05:00,2024-03-31 22:30:00,12,12,11.7,0,0,14.8,217,0,3.3,3.3,41.9,491,1014.2,98,0,0,16.8,67,1,735.9,1,16.8,10.6
2024-03-31T22:25:00-05:00,2024-03-31 22:25:00,12.1,12.1,11.8,0,0,14.8,217,0,3.3,3.3,41.9,491,1014.2,98,0,0,16.8,67,1,735.9,1,16.8,10.6
2024-03-31T22:20:00-05:00,2024-03-31 22:20:00,12.1,12.1,11.8,0,0,14.8,217,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.9,67,1,735.8,1,16.9,10.7
2024-03-31T22:15:00-05:00,2024-03-31 22:15:00,12.1,12.1,11.8,0,0,14.8,217,0,3.3,3.3,41.9,491,1014.1,98,0,0,16.9,66,1,735.8,1,16.9,10.5
2024-03-31T22:10:00-05:00,2024-03-31 22:10:00,12.1,12.1,11.8,0,0,14.8,217,1.8,3.3,3.3,41.9,491,1014.3,98,0,0,16.9,66,1,736,1,16.9,10.5
2024-03-31T22:05:00-05:00,2024-03-31 22:05:00,12.1,12.1,11.8,0,0,14.8,217,3,3.3,3.3,41.9,491,1014.4,98,0,0,17,66,1,736.1,1,17,10.6
2024-03-31T22:00:00-05:00,2024-03-31 22:00:00,12.1,12.1,11.8,0,0,14.8,217,1.2,3,3,41.6,490.7,1014.1,98,0,0,17,66,1,735.8,1,17,10.6
2024-03-31T21:55:00-05:00,2024-03-31 21:55:00,12.1,12.1,11.8,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1014.1,98,0,0,17.1,66,1,735.8,1,17.1,10.7
2024-03-31T21:50:00-05:00,2024-03-31 21:50:00,12.1,12.1,11.8,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1014.2,98,0,0,17.1,66,1,735.9,1,17.1,10.7
2024-03-31T21:45:00-05:00,2024-03-31 21:45:00,12.1,12.1,11.8,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1014.1,98,0,0,17.1,66,1,735.8,1,17.1,10.7
2024-03-31T21:40:00-05:00,2024-03-31 21:40:00,12,12,11.7,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1013.7,98,0,0,17.1,66,1,735.4,1,17.1,10.7
2024-03-31T21:35:00-05:00,2024-03-31 21:35:00,12,12,11.7,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1013.9,98,0,0,17.1,66,1,735.6,1,17.1,10.7
2024-03-31T21:30:00-05:00,2024-03-31 21:30:00,11.9,11.9,11.6,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1013.8,98,0,0,17.2,66,1,735.5,1,17.2,10.8
2024-03-31T21:25:00-05:00,2024-03-31 21:25:00,12,12,11.7,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1013.8,98,0,0,17.2,66,1,735.5,1,17.2,10.8
2024-03-31T21:20:00-05:00,2024-03-31 21:20:00,11.9,11.9,11.6,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1013.8,98,0,0,17.2,66,1,735.5,1,17.2,10.8
2024-03-31T21:15:00-05:00,2024-03-31 21:15:00,12,12,11.8,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1013.8,99,0,0,17.2,66,1,735.5,1,17.2,10.8
2024-03-31T21:10:00-05:00,2024-03-31 21:10:00,12,12,11.8,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1014,99,0,0,17.2,66,1,735.7,1,17.2,10.8
2024-03-31T21:05:00-05:00,2024-03-31 21:05:00,12,12,11.8,0,0,14.8,217,0,2.8,2.8,41.4,490.5,1013.8,99,0,0,17.3,66,1,735.5,1,17.3,10.9
2024-03-31T21:00:00-05:00,2024-03-31 21:00:00,11.9,11.9,11.7,0,0,14.8,218,0,2.8,2.8,41.4,490.5,1013.8,99,0,0,17.3,66,1,735.5,1,17.3,10.9
