"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-05-20T11:05:00-05:00,2024-05-20 11:05:00,16.4,16.4,14,5.4,9.4,11.2,244,0,0,1,38.9,634,1011.5,86,2,220.1,22.6,60,1,733.2,1,22.5,14.4
2024-05-20T11:00:00-05:00,2024-05-20 11:00:00,16.8,16.8,14.8,1.4,1.8,11.2,220,0,0,1,38.9,634,1011.6,88,2,272.6,22.9,59,1,733.3,1,22.8,14.4
2024-05-20T10:55:00-05:00,2024-05-20 10:55:00,17.3,17.3,14.7,2.5,3.6,11.2,209,0,0,1,38.9,634,1011.7,85,8,883.3,23.2,58,1,733.4,1,23.1,14.5
2024-05-20T10:50:00-05:00,2024-05-20 10:50:00,19.1,19.1,15.8,6.1,11.2,11.2,198,0,0,1,38.9,634,1011.8,81,2,241.7,23.6,58,1,733.5,1,23.6,14.8
2024-05-20T10:45:00-05:00,2024-05-20 10:45:00,19.3,19.3,15.9,2.9,3.6,11.2,276,0,0,1,38.9,634,1011.6,81,8,821.5,23.7,58,1,733.3,1,23.7,14.9
2024-05-20T10:40:00-05:00,2024-05-20 10:40:00,20,20,15.8,2.2,3.6,11.2,313,0,0,1,38.9,634,1011.7,77,8,846.6,23.6,58,1,733.4,1,23.6,14.8
2024-05-20T10:35:00-05:00,2024-05-20 10:35:00,19.4,19.4,16,2.9,5.4,11.2,200,0,0,1,38.9,634,1011.5,81,8,838.4,23.5,59,1,733.2,1,23.4,15
2024-05-20T10:30:00-05:00,2024-05-20 10:30:00,20.1,20.2,16.4,2.9,5.4,11.2,179,0,0,1,38.9,634,1011.6,79,5,550,23.3,59,1,733.3,1,23.2,14.8
2024-05-20T10:25:00-05:00,2024-05-20 10:25:00,18.9,18.9,15.9,2.9,5.4,11.2,184,0,0,1,38.9,634,1011.5,83,8,824.7,23.1,60,1,733.2,1,23.1,14.9
2024-05-20T10:20:00-05:00,2024-05-20 10:20:00,18.2,18.2,15.5,0.7,1.8,11.2,127,0,0,1,38.9,634,1011.7,84,7,776.5,22.6,60,1,733.4,1,22.5,14.4
2024-05-20T10:15:00-05:00,2024-05-20 10:15:00,17.5,17.5,14.4,5.4,11.2,11.2,237,0,0,1,38.9,634,1011.7,82,8,825.7,22.3,61,1,733.4,1,22.2,14.4
2024-05-20T10:10:00-05:00,2024-05-20 10:10:00,17.4,17.4,15,1.8,3.6,11.2,193,0,0,1,38.9,634,1011.8,86,3,351.7,22.3,61,1,733.5,1,22.2,14.4
2024-05-20T10:05:00-05:00,2024-05-20 10:05:00,17,17,14.6,1.4,1.8,11.2,278,0,0,1,38.9,634,1011.6,86,8,837,22.2,61,1,733.3,1,22.1,14.3
2024-05-20T10:00:00-05:00,2024-05-20 10:00:00,17.4,17.4,14.7,3.2,5.4,11.2,244,0,0,1,38.9,634,1011.6,84,2,284,22.5,60,1,733.3,1,22.4,14.3
2024-05-20T09:55:00-05:00,2024-05-20 09:55:00,16.6,16.6,14.4,3.2,5.4,11.2,258,0,0,1,38.9,634,1011.5,87,7,745.7,22.5,60,1,733.2,1,22.4,14.3
2024-05-20T09:50:00-05:00,2024-05-20 09:50:00,17,17,14.5,0.4,1.8,11.2,209,0,0,1,38.9,634,1011.6,85,4,435.3,22.7,60,1,733.3,1,22.6,14.6
2024-05-20T09:45:00-05:00,2024-05-20 09:45:00,18,18,15.1,2.9,3.6,11.2,226,0,0,1,38.9,634,1011.7,83,7,774.4,22.7,60,1,733.4,1,22.6,14.6
2024-05-20T09:40:00-05:00,2024-05-20 09:40:00,18.7,18.7,15.6,1.4,1.8,11.2,129,0,0,1,38.9,634,1011.4,82,7,749.4,22.6,61,1,733.1,1,22.5,14.7
2024-05-20T09:35:00-05:00,2024-05-20 09:35:00,18.6,18.6,15.3,1.4,3.6,11.2,265,0,0,1,38.9,634,1011.6,81,6,685,22.1,62,1,733.3,1,22,14.5
2024-05-20T09:30:00-05:00,2024-05-20 09:30:00,17.8,17.8,15.2,0,0,11.2,158,0,0,1,38.9,634,1011.4,85,6,646,21.6,63,1,733.1,1,21.5,14.3
2024-05-20T09:26:00-05:00,2024-05-20 09:26:00,17.6,17.6,15.4,4,5.4,11.2,243,0,0,1,38.9,634,1011.4,87,6,658.5,21.1,64,1,733.1,1,20.9,14.1
2024-05-20T09:20:00-05:00,2024-05-20 09:20:00,16.5,16.5,14,1.8,1.8,11.2,113,0,0,1,38.9,634,1011.5,85,6,639.8,20.4,66,1,733.2,1,20.2,13.8
2024-05-20T09:15:00-05:00,2024-05-20 09:15:00,16.2,16.2,14.1,4.7,7.2,11.2,267,0,0,1,38.9,634,1011.1,87,4,418.5,19.9,66,1,732.8,1,19.9,13.3
2024-05-20T09:10:00-05:00,2024-05-20 09:10:00,16.1,16.1,13.9,2.2,3.6,11.2,138,0,0,1,38.9,634,1011.6,87,4,416.2,19.9,66,1,733.3,1,19.9,13.3
2024-05-20T09:05:00-05:00,2024-05-20 09:05:00,17.1,17.1,14.6,0,0,11.2,162,0,0,1,38.9,634,1011.3,85,2,296.1,19.9,67,1,733,1,19.9,13.6
2024-05-20T09:00:00-05:00,2024-05-20 09:00:00,15.7,15.7,13.6,0.7,1.8,11.2,192,0,0,1,38.9,634,1011.5,87,5,546.2,19.3,68,1,733.2,1,19.3,13.2
2024-05-20T08:55:00-05:00,2024-05-20 08:55:00,16.4,16.4,14,2.2,3.6,11.2,278,0,0,1,38.9,634,1011.3,86,2,206,19.2,69,1,733,1,19.2,13.4
2024-05-20T08:50:00-05:00,2024-05-20 08:50:00,14.9,14.9,13.4,2.9,5.4,11.2,179,0,0,1,38.9,634,1011.4,91,5,526.9,18.5,70,1,733.1,1,18.5,12.9
2024-05-20T08:45:00-05:00,2024-05-20 08:45:00,14.2,14.2,13.1,2.5,5.4,9.4,203,0,0,1,38.9,634,1011.4,93,6,632.9,17.9,71,1,733.1,1,17.9,12.6
2024-05-20T08:40:00-05:00,2024-05-20 08:40:00,15,15,13.5,1.4,1.8,9.4,248,0,0,1,38.9,634,1011.2,91,1,121.8,18,71,1,732.9,1,18,12.7
2024-05-20T08:35:00-05:00,2024-05-20 08:35:00,15.2,15.2,13.8,2.2,3.6,9.4,210,0,0,1,38.9,634,1011.2,91,1,150.3,17.8,71,1,732.9,1,17.8,12.4
2024-05-20T08:30:00-05:00,2024-05-20 08:30:00,15.3,15.3,13.8,0,0,9.4,197,0,0,1,38.9,634,1011.1,91,1,138.5,17.7,72,1,732.8,1,17.7,12.6
2024-05-20T08:25:00-05:00,2024-05-20 08:25:00,14.6,14.6,13.3,0,0,9.4,183,0,0,1,38.9,634,1011.2,92,3,389,17.4,72,1,732.9,1,17.4,12.3
2024-05-20T08:20:00-05:00,2024-05-20 08:20:00,14.1,14.1,13.2,2.2,3.6,9.4,272,0,0,1,38.9,634,1011,94,1,154.1,17.2,73,1,732.7,1,17.2,12.3
2024-05-20T08:15:00-05:00,2024-05-20 08:15:00,13.9,13.9,12.9,0.4,1.8,9.4,234,0,0,1,38.9,634,1011.4,94,2,216.1,17.1,73,1,733.1,1,17.1,12.2
2024-05-20T08:10:00-05:00,2024-05-20 08:10:00,14.2,14.2,13.3,1.4,1.8,9.4,213,0,0,1,38.9,634,1011.3,94,1,109.9,17.2,73,1,733,1,17.2,12.3
2024-05-20T08:05:00-05:00,2024-05-20 08:05:00,13.9,13.9,12.9,3.6,7.2,9.4,225,0,0,1,38.9,634,1011.3,94,2,232.7,16.8,74,1,733,1,16.8,12.1
2024-05-20T08:00:00-05:00,2024-05-20 08:00:00,14.3,14.3,13.3,1.8,3.6,7.2,245,0,0,1,38.9,634,1011.3,94,1,149.1,16.7,74,1,733,1,16.7,12.1
2024-05-20T07:55:00-05:00,2024-05-20 07:55:00,13.9,13.9,12.9,2.9,5.4,7.2,232,0,0,1,38.9,634,1011.1,94,2,207.6,16.4,75,1,732.8,1,16.4,11.9
2024-05-20T07:50:00-05:00,2024-05-20 07:50:00,13.1,13.1,12.8,0,0,7.2,176,0,0,1,38.9,634,1011.4,98,2,247.1,16.1,76,1,733.1,1,16.1,11.9
2024-05-20T07:45:00-05:00,2024-05-20 07:45:00,12.8,12.8,12.6,1.1,1.8,7.2,233,0,0,1,38.9,634,1011.3,99,1,114.5,15.7,76,1,733,1,15.7,11.5
2024-05-20T07:40:00-05:00,2024-05-20 07:40:00,12.6,12.6,12.5,1.4,3.6,7.2,211,0,0,1,38.9,634,1011,99,1,149.9,15.5,77,1,732.7,1,15.5,11.5
2024-05-20T07:35:00-05:00,2024-05-20 07:35:00,12.3,12.3,12.1,0.4,1.8,7.2,201,0,0,1,38.9,634,1011.2,99,0,80.4,15.4,77,1,732.9,1,15.4,11.4
