"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-07-31T23:55:00-05:00,2024-07-31 23:55:00,11.7,11.7,6.6,17.6,27.7,68,87,0,0,0,8.7,684.8,1011.2,71,0,0,13.7,56,1,718.2,1,13.7,5.1
2024-07-31T23:50:00-05:00,2024-07-31 23:50:00,12.7,12.7,6.3,7.2,13,68,221,0,0,0,8.7,684.8,1011.3,65,0,0,13.8,56,1,718.3,1,13.8,5.2
2024-07-31T23:45:00-05:00,2024-07-31 23:45:00,12.5,12.5,5.9,23.8,34.9,68,82,0,0,0,8.7,684.8,1011.2,64,0,0,13.8,56,1,718.2,1,13.8,5.2
2024-07-31T23:40:00-05:00,2024-07-31 23:40:00,12.4,12.4,6.6,3.2,3.6,68,30,0,0,0,8.7,684.8,1011.3,68,0,0,13.8,57,1,718.3,1,13.8,5.4
2024-07-31T23:35:00-05:00,2024-07-31 23:35:00,12.1,12.1,6.6,1.1,1.8,68,244,0,0,0,8.7,684.8,1011.3,69,0,0,13.8,58,1,718.3,1,13.8,5.7
2024-07-31T23:30:00-05:00,2024-07-31 23:30:00,11.7,11.7,6.6,9.7,20.2,68,129,0,0,0,8.7,684.8,1011.2,71,0,0,13.7,60,1,718.2,1,13.7,6.1
2024-07-31T23:25:00-05:00,2024-07-31 23:25:00,8.1,6.4,7.8,9.7,13,68,267,0,0,0,8.7,684.8,1011.6,98,0,0,13.8,61,1,718.6,1,13.8,6.4
2024-07-31T23:20:00-05:00,2024-07-31 23:20:00,8.1,8.1,8,4.3,5.4,68,327,0,0,0,8.7,684.8,1011.2,99,0,0,13.8,61,1,718.2,1,13.8,6.4
2024-07-31T23:15:00-05:00,2024-07-31 23:15:00,8.1,5.9,8,13,16.6,68,280,0,0,0,8.7,684.8,1011.6,99,0,0,13.9,61,1,718.6,1,13.9,6.5
2024-07-31T23:10:00-05:00,2024-07-31 23:10:00,8.3,6.5,8.1,10.4,13,68,262,0,0,0,8.7,684.8,1011.4,99,0,0,13.9,61,1,718.4,1,13.9,6.5
2024-07-31T23:05:00-05:00,2024-07-31 23:05:00,8.3,5.7,8.1,15.8,18.4,68,259,0,0,0,8.7,684.8,1011.2,99,0,0,13.9,61,1,718.2,1,13.9,6.5
2024-07-31T23:00:00-05:00,2024-07-31 23:00:00,8.3,5.6,8.1,16.6,20.2,68,258,0,0,0,8.7,684.8,1011.3,99,0,0,13.9,61,1,718.3,1,13.9,6.5
2024-07-31T22:55:00-05:00,2024-07-31 22:55:00,8.3,6.7,8.1,9.4,11.2,68,263,0,0,0,8.7,684.8,1011.3,99,0,0,13.9,60,1,718.3,1,13.9,6.3
2024-07-31T22:50:00-05:00,2024-07-31 22:50:00,8.3,8.3,8.1,4.3,5.4,68,265,0,0,0,8.7,684.8,1011.4,99,0,0,13.9,61,1,718.4,1,13.9,6.5
2024-07-31T22:45:00-05:00,2024-07-31 22:45:00,8.4,8.4,8.2,1.1,1.8,68,249,0,0,0,8.7,684.8,1011.6,99,0,0,13.9,61,1,718.6,1,13.9,6.5
2024-07-31T22:40:00-05:00,2024-07-31 22:40:00,8.5,8.5,8.4,0,0,68,306,0,0,0,8.7,684.8,1011.6,99,0,0,14,60,1,718.6,1,14,6.3
