"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-10-31T16:00:00-05:00,2024-10-31 16:00:00,11.1,11.1,10.7,8.3,9.4,14.8,246,0,5.3,5.3,11.4,706.6,1013.1,97,0,32,17,63,1,716.4,1,17,9.9
2024-10-31T15:55:00-05:00,2024-10-31 15:55:00,11.3,11.3,10.8,9.7,11.2,14.8,243,0,5.3,5.3,11.4,706.6,1013.1,97,0,19,17.1,63,1,716.4,1,17.1,10
2024-10-31T15:50:00-05:00,2024-10-31 15:50:00,11.5,11.5,11,7.2,11.2,14.8,218,0,5.3,5.3,11.4,706.6,1013.2,97,0,18.8,17.2,63,1,716.5,1,17.2,10.1
2024-10-31T15:45:00-05:00,2024-10-31 15:45:00,11.7,11.7,11.1,5,7.2,14.8,227,0,5.3,5.3,11.4,706.6,1013.1,96,0,21.3,17.3,63,1,716.4,1,17.3,10.2
2024-10-31T15:40:00-05:00,2024-10-31 15:40:00,11.8,11.8,11,5.4,7.2,14.8,253,0,5.3,5.3,11.4,706.6,1013.1,95,0,43.5,17.3,63,1,716.4,1,17.3,10.2
2024-10-31T15:35:00-05:00,2024-10-31 15:35:00,12,12,11.2,6.1,9.4,14.8,240,0,5.3,5.3,11.4,706.6,1013.1,95,0,56.8,17.4,63,1,716.4,1,17.4,10.3
2024-10-31T15:30:00-05:00,2024-10-31 15:30:00,12.2,12.2,11.4,6.1,7.2,14.8,252,0,5.3,5.3,11.4,706.6,1013.3,95,0,77.2,17.6,63,1,716.6,1,17.6,10.5
2024-10-31T15:25:00-05:00,2024-10-31 15:25:00,12.2,12.2,11.1,10.4,14.8,14.8,267,0,5.3,5.3,11.4,706.6,1013.3,93,0,95.5,17.7,62,1,716.6,1,17.7,10.3
2024-10-31T15:20:00-05:00,2024-10-31 15:20:00,12.6,12.6,11.7,8.6,13,13,241,0,5.3,5.3,11.4,706.6,1013,94,1,108.5,17.8,63,1,716.3,1,17.8,10.6
2024-10-31T15:16:00-05:00,2024-10-31 15:16:00,12.6,12.6,11.8,6.1,7.2,13,259,0,5.3,5.3,11.4,706.6,1012.9,95,1,136.8,17.8,63,1,716.2,1,17.8,10.6
2024-10-31T15:10:00-05:00,2024-10-31 15:10:00,12.8,12.8,12,7.6,9.4,13,238,0,5.3,5.3,11.4,706.6,1012.9,95,1,152.7,17.9,63,1,716.2,1,17.9,10.7
2024-10-31T15:05:00-05:00,2024-10-31 15:05:00,13.2,13.2,12.4,6.8,9.4,9.4,260,0,5.3,5.3,11.4,706.6,1013,95,1,195.5,18,62,1,716.3,1,18,10.6
2024-10-31T15:00:00-05:00,2024-10-31 15:00:00,13.4,13.4,12.1,5.4,5.4,9.4,238,0,5.3,5.3,11.4,706.6,1013,92,1,196.1,18.1,61,1,716.3,1,18.1,10.4
2024-10-31T14:55:00-05:00,2024-10-31 14:55:00,13.8,13.8,12.3,4.3,5.4,7.2,228,0,5.3,5.3,11.4,706.6,1013.1,91,2,214.7,18.2,61,1,716.4,1,18.2,10.6
2024-10-31T14:50:00-05:00,2024-10-31 14:50:00,13.6,13.6,12,1.1,1.8,7.2,251,0,5.3,5.3,11.4,706.6,1013,90,2,270.9,18.2,61,1,716.3,1,18.2,10.6
2024-10-31T14:45:00-05:00,2024-10-31 14:45:00,13.5,13.5,11.7,5,7.2,7.2,256,0,5.3,5.3,11.4,706.6,1013.1,89,2,244.7,18.1,60,1,716.4,1,18.1,10.2
2024-10-31T14:40:00-05:00,2024-10-31 14:40:00,13.7,13.7,12.1,1.8,1.8,29.5,228,0,5.3,5.3,11.4,706.6,1011.7,90,2,285.2,18.1,61,1,716.6,1,18.1,10.4
2024-10-31T14:35:00-05:00,2024-10-31 14:35:00,14.1,14.1,12.5,3.6,5.4,29.5,245,0,5.3,5.3,11.4,706.6,1011.7,90,2,277.8,18.1,61,1,716.6,1,18.1,10.4
2024-10-31T14:30:00-05:00,2024-10-31 14:30:00,13.5,13.5,11.9,1.1,1.8,29.5,246,0,5.3,5.3,11.4,706.6,1011.7,90,3,315.5,18.1,60,1,716.6,1,18.1,10.2
2024-10-31T14:26:00-05:00,2024-10-31 14:26:00,13.4,13.4,11.8,0,0,29.5,255,0,5.3,5.3,11.4,706.6,1011.7,90,2,266.1,18.1,60,1,716.6,1,18.1,10.2
2024-10-26T05:00:00-05:00,2024-10-26 05:00:00,8.6,8.6,7.1,0,0,7.2,248,0,0,0,6.1,701.3,1012.5,90,0,0,13.2,63,1,717.3,1,13.2,6.3
2024-10-26T04:55:00-05:00,2024-10-26 04:55:00,8.6,8.6,7.1,0,0,7.2,251,0,0,0,6.1,701.3,1012.5,90,0,0,13.3,63,1,717.3,1,13.3,6.4
2024-10-26T04:50:00-05:00,2024-10-26 04:50:00,8.7,8.7,7.3,0,0,7.2,245,0,0,0,6.1,701.3,1012.6,91,0,0,13.4,63,1,717.4,1,13.4,6.5
2024-10-26T04:45:00-05:00,2024-10-26 04:45:00,8.7,8.7,7.5,0,0,7.2,268,0,0,0,6.1,701.3,1012.5,92,0,0,13.4,63,1,717.3,1,13.4,6.5
2024-10-26T04:40:00-05:00,2024-10-26 04:40:00,8.8,8.8,7.7,0,0,7.2,247,0,0,0,6.1,701.3,1012.4,93,0,0,13.5,64,1,717.2,1,13.5,6.8
2024-10-26T04:35:00-05:00,2024-10-26 04:35:00,8.8,8.8,7.9,0,0,7.2,241,0,0,0,6.1,701.3,1012.3,94,0,0,13.5,64,1,717.1,1,13.5,6.8
2024-10-26T04:30:00-05:00,2024-10-26 04:30:00,8.8,8.8,8,0,0,7.2,243,0,0,0,6.1,701.3,1012.2,95,0,0,13.5,64,1,717,1,13.5,6.8
2024-10-26T04:25:00-05:00,2024-10-26 04:25:00,8.7,8.7,8,0,0,7.2,242,0,0,0,6.1,701.3,1012.1,95,0,0,13.5,64,1,716.9,1,13.5,6.8
2024-10-26T04:20:00-05:00,2024-10-26 04:20:00,8.7,8.7,8,0,0,7.2,243,0,0,0,6.1,701.3,1012.2,95,0,0,13.6,64,1,717,1,13.6,6.9
2024-10-26T04:15:00-05:00,2024-10-26 04:15:00,8.8,8.8,8,0,0,7.2,243,0,0,0,6.1,701.3,1012.3,95,0,0,13.7,64,1,717.1,1,13.7,7.1
2024-10-26T04:10:00-05:00,2024-10-26 04:10:00,8.8,8.8,8,0,0,7.2,243,0,0,0,6.1,701.3,1012.4,95,0,0,13.7,64,1,717.2,1,13.7,7.1
2024-10-26T04:05:00-05:00,2024-10-26 04:05:00,8.8,8.8,8,0,0,7.2,243,0,0,0,6.1,701.3,1012.5,95,0,0,13.7,64,1,717.3,1,13.7,7.1
2024-10-26T04:00:00-05:00,2024-10-26 04:00:00,8.8,8.8,8.2,0,0,7.2,243,0,0,0,6.1,701.3,1012.5,96,0,0,13.8,64,1,717.3,1,13.8,7.1
2024-10-26T03:55:00-05:00,2024-10-26 03:55:00,8.8,8.8,8.3,0,0,7.2,243,0,0,0,6.1,701.3,1012.3,97,0,0,13.8,64,1,717.1,1,13.8,7.1
2024-10-26T03:50:00-05:00,2024-10-26 03:50:00,8.8,8.8,8.3,0,0,7.2,250,0,0,0,6.1,701.3,1012.5,97,0,0,13.8,64,1,717.3,1,13.8,7.1
2024-10-26T03:45:00-05:00,2024-10-26 03:45:00,8.9,8.9,8.6,0,0,7.2,259,0,0,0,6.1,701.3,1012.6,98,0,0,14,64,1,717.4,1,14,7.3
2024-10-26T03:40:00-05:00,2024-10-26 03:40:00,8.8,8.8,8.5,0,0,7.2,260,0,0,0,6.1,701.3,1012.4,98,0,0,14,64,1,717.2,1,14,7.3
2024-10-26T03:35:00-05:00,2024-10-26 03:35:00,9,9,8.9,0,0,7.2,244,0,0,0,6.1,701.3,1012.5,99,0,0,14,64,1,717.3,1,14,7.3
2024-10-26T03:31:00-05:00,2024-10-26 03:31:00,9.1,9.1,9,0,0,7.2,242,0,0,0,6.1,701.3,1012.6,99,0,0,14.1,65,1,717.4,1,14.1,7.6
2024-10-26T03:25:00-05:00,2024-10-26 03:25:00,9.3,9.3,9.1,0,0,7.2,264,0,0,0,6.1,701.3,1012.4,99,0,0,14.1,65,1,717.2,1,14.1,7.6
2024-10-26T03:20:00-05:00,2024-10-26 03:20:00,9.4,9.4,9.2,0,0,7.2,275,0,0,0,6.1,701.3,1012.6,99,0,0,14.2,65,1,717.4,1,14.2,7.7
2024-10-26T03:15:00-05:00,2024-10-26 03:15:00,9.5,9.5,9.4,0,0,7.2,248,0,0,0,6.1,701.3,1012.4,99,0,0,14.3,65,1,717.2,1,14.3,7.8
2024-10-26T03:10:00-05:00,2024-10-26 03:10:00,9.5,9.5,9.4,0,0,7.2,249,0,0,0,6.1,701.3,1012.6,99,0,0,14.2,65,1,717.4,1,14.2,7.7
2024-10-26T03:05:00-05:00,2024-10-26 03:05:00,9.5,9.5,9.4,0,0,7.2,249,0,0,0,6.1,701.3,1012.7,99,0,0,14.4,65,1,717.5,1,14.4,7.9
2024-10-26T03:00:00-05:00,2024-10-26 03:00:00,9.5,9.5,9.4,0,0,7.2,249,0,0,0,6.1,701.3,1012.7,99,0,0,14.4,65,1,717.5,1,14.4,7.9
2024-10-26T02:55:00-05:00,2024-10-26 02:55:00,9.5,9.5,9.4,0,0,7.2,249,0,0,0,6.1,701.3,1012.7,99,0,0,14.4,64,1,717.5,1,14.4,7.7
2024-10-26T02:50:00-05:00,2024-10-26 02:50:00,9.4,9.4,9.2,0,0,7.2,249,0,0,0,6.1,701.3,1012.7,99,0,0,14.4,64,1,717.5,1,14.4,7.7
2024-10-26T02:45:00-05:00,2024-10-26 02:45:00,9.4,9.4,9.2,0,0,7.2,250,0,0,0,6.1,701.3,1012.7,99,0,0,14.4,64,1,717.5,1,14.4,7.7
2024-10-26T02:40:00-05:00,2024-10-26 02:40:00,9.4,9.4,9.2,0,0,7.2,249,0,0,0,6.1,701.3,1012.6,99,0,0,14.5,64,1,717.4,1,14.5,7.8
2024-10-26T02:35:00-05:00,2024-10-26 02:35:00,9.4,9.4,9.2,0,0,7.2,254,0,0,0,6.1,701.3,1012.5,99,0,0,14.6,64,1,717.3,1,14.6,7.9
2024-10-26T02:30:00-05:00,2024-10-26 02:30:00,9.5,9.5,9.4,0,0,7.2,246,0,0,0,6.1,701.3,1012.5,99,0,0,14.7,64,1,717.3,1,14.7,8
2024-10-26T02:25:00-05:00,2024-10-26 02:25:00,9.8,9.8,9.6,0,0,7.2,77,0,0,0,6.1,701.3,1012.7,99,0,0,14.8,64,1,717.5,1,14.8,8.1
2024-10-26T02:20:00-05:00,2024-10-26 02:20:00,9.9,9.9,9.7,0,0,7.2,77,0,0,0,6.1,701.3,1012.6,99,0,0,14.9,65,1,717.4,1,14.9,8.4
2024-10-26T02:15:00-05:00,2024-10-26 02:15:00,9.9,9.9,9.7,0,0,7.2,77,0,0,0,6.1,701.3,1012.6,99,0,0,14.9,65,1,717.4,1,14.9,8.4
2024-10-26T02:10:00-05:00,2024-10-26 02:10:00,9.9,9.9,9.7,0,0,7.2,77,0,0,0,6.1,701.3,1012.4,99,0,0,14.8,65,1,717.2,1,14.8,8.3
2024-10-26T02:05:00-05:00,2024-10-26 02:05:00,9.9,9.9,9.7,0,0,7.2,77,0,0,0,6.1,701.3,1012.6,99,0,0,14.8,65,1,717.4,1,14.8,8.3
2024-10-26T02:00:00-05:00,2024-10-26 02:00:00,10,10,9.8,0,0,7.2,77,0,0,0,6.1,701.3,1012.6,99,0,0,14.9,65,1,717.4,1,14.9,8.4
2024-10-26T01:55:00-05:00,2024-10-26 01:55:00,9.9,9.9,9.7,0,0,7.2,77,0,0,0,6.1,701.3,1012.6,99,0,0,14.9,66,1,717.4,1,14.9,8.6
2024-10-26T01:50:00-05:00,2024-10-26 01:50:00,9.9,9.9,9.7,0,0,7.2,77,0,0,0,6.1,701.3,1012.6,99,0,0,14.8,66,1,717.4,1,14.8,8.5
