"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-06-30T23:55:00-05:00,2025-06-30 23:55:00,9.2,8.8,7.7,5.4,5.4,46.1,286,0,1.3,1.3,18.1,1472.8,1011.8,90,0,0,13.1,63,1,718.8,1,13.1,6.2
2025-06-30T23:50:00-05:00,2025-06-30 23:50:00,10,10,8.1,4.3,5.4,46.1,270,0,1.3,1.3,18.1,1472.8,1011.8,88,0,0,12.9,63,1,718.8,1,12.9,6
2025-06-30T23:45:00-05:00,2025-06-30 23:45:00,11.2,11.2,7.3,0,0,46.1,267,0,1.3,1.3,18.1,1472.8,1011.6,77,0,0,12.7,62,1,718.6,1,12.7,5.6
2025-06-30T23:40:00-05:00,2025-06-30 23:40:00,11.1,11.1,7.2,0,0,46.1,275,0,1.3,1.3,18.1,1472.8,1011.8,77,0,0,12.5,62,1,718.8,1,12.5,5.4
2025-06-30T23:35:00-05:00,2025-06-30 23:35:00,11,11,6.9,0.7,1.8,46.1,285,0,1.3,1.3,18.1,1472.8,1011.8,76,0,0,12.5,62,1,718.8,1,12.5,5.4
2025-06-30T23:30:00-05:00,2025-06-30 23:30:00,10.4,10.4,6.7,1.8,1.8,46.1,246,0,1.3,1.3,18.1,1472.8,1011.6,78,0,0,12.3,62,1,718.6,1,12.3,5.2
2025-06-30T23:25:00-05:00,2025-06-30 23:25:00,9.4,9.4,6.6,0,0,46.1,284,0,1.3,1.3,18.1,1472.8,1011.5,83,0,0,12.1,63,1,718.5,1,12.1,5.3
2025-06-30T23:20:00-05:00,2025-06-30 23:20:00,8.8,8.8,7.2,0,0,46.1,267,0,1.3,1.3,18.1,1472.8,1011.7,90,0,0,12.2,65,1,718.7,1,12.2,5.8
2025-06-30T23:15:00-05:00,2025-06-30 23:15:00,8.9,8.9,7.7,0,0,46.1,272,0,1.3,1.3,18.1,1472.8,1011.7,92,0,0,12.6,65,1,718.7,1,12.6,6.2
2025-06-30T23:10:00-05:00,2025-06-30 23:10:00,9,9,7.6,0,0,46.1,273,0,1.3,1.3,18.1,1472.8,1011.7,91,0,0,13,64,1,718.7,1,13,6.3
2025-06-30T23:05:00-05:00,2025-06-30 23:05:00,9.3,9.3,7.9,0.7,1.8,46.1,264,0,1.3,1.3,18.1,1472.8,1011.7,91,0,0,13.4,63,1,718.7,1,13.4,6.5
2025-06-30T23:00:00-05:00,2025-06-30 23:00:00,9.5,9.5,7.8,1.4,1.8,46.1,293,0,1.3,1.3,18.1,1472.8,1011.8,89,0,0,13.5,63,1,718.8,1,13.5,6.6
2025-06-30T22:55:00-05:00,2025-06-30 22:55:00,9.6,9.6,7.9,3.6,3.6,46.1,271,0,1.3,1.3,18.1,1472.8,1011.8,89,0,0,13.3,63,1,718.8,1,13.3,6.4
2025-06-30T22:50:00-05:00,2025-06-30 22:50:00,9.8,9.8,8.1,2.2,3.6,46.1,282,0,1.3,1.3,18.1,1472.8,1011.7,89,0,0,13.2,62,1,718.7,1,13.2,6.1
2025-06-30T22:45:00-05:00,2025-06-30 22:45:00,11.1,11.1,8.3,11.2,13,46.1,291,0,1.3,1.3,18.1,1472.8,1011.5,83,0,0,13,62,1,718.5,1,13,5.9
2025-06-30T22:41:00-05:00,2025-06-30 22:41:00,11.8,11.8,7.9,4,5.4,46.1,281,0,1.3,1.3,18.1,1472.8,1011.7,77,0,0,12.9,60,1,718.7,1,12.9,5.3
2025-06-30T22:35:00-05:00,2025-06-30 22:35:00,11.7,11.7,7.2,0,0,46.1,265,0,1.3,1.3,18.1,1472.8,1011.5,74,0,0,12.8,60,1,718.5,1,12.8,5.2
2025-06-30T22:30:00-05:00,2025-06-30 22:30:00,11.9,11.9,7.2,0,0,46.1,274,0,1.3,1.3,18.1,1472.8,1011.5,73,0,0,12.8,60,1,718.5,1,12.8,5.2
2025-06-30T22:25:00-05:00,2025-06-30 22:25:00,11.5,11.5,7,0,0,46.1,283,0,1.3,1.3,18.1,1472.8,1011.5,74,0,0,12.8,61,1,718.5,1,12.8,5.4
2025-06-30T22:20:00-05:00,2025-06-30 22:20:00,9.8,9.8,6.9,1.1,1.8,46.1,256,0,1.3,1.3,18.1,1472.8,1011.5,82,0,0,12.6,62,1,718.5,1,12.6,5.5
2025-06-30T22:15:00-05:00,2025-06-30 22:15:00,8.9,8.9,7.7,0,0,46.1,273,0,1.3,1.3,18.1,1472.8,1011.6,92,0,0,12.6,65,1,718.6,1,12.6,6.2
2025-06-30T22:10:00-05:00,2025-06-30 22:10:00,8.6,8.6,7.7,0,0,46.1,279,0,1.3,1.3,18.1,1472.8,1011.6,94,0,0,12.6,65,1,718.6,1,12.6,6.2
2025-06-30T22:05:00-05:00,2025-06-30 22:05:00,8.6,8.6,7.7,0,0,46.1,269,0,1.3,1.3,18.1,1472.8,1011.6,94,0,0,13.1,64,1,718.6,1,13.1,6.4
2025-06-30T22:00:00-05:00,2025-06-30 22:00:00,8.6,8.6,7.7,0,0,46.1,270,0,1.3,1.3,18.1,1472.8,1011.6,94,0,0,13.6,63,1,718.6,1,13.6,6.7
