"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-09-30T23:55:00-05:00,2025-09-30 23:55:00,8.3,8.3,7.5,0,0,0,255,0,2.8,3,11,11,1014.4,95,0,0,11.9,68,1,719.3,1,11.9,6.2
2025-09-30T23:50:00-05:00,2025-09-30 23:50:00,8.5,8.5,7.7,0,0,0,263,0,2.8,3,11,11,1014.4,95,0,0,12.4,67,1,719.3,1,12.4,6.4
2025-09-30T23:45:00-05:00,2025-09-30 23:45:00,8.6,8.6,7.7,0,0,0,273,0,2.8,3,11,11,1014.1,94,0,0,12.3,68,1,719,1,12.3,6.6
2025-09-30T23:40:00-05:00,2025-09-30 23:40:00,8.6,8.6,7.9,0,0,0,263,0,2.8,3,11,11,1014.4,95,0,0,12.4,67,1,719.3,1,12.4,6.4
2025-09-30T23:35:00-05:00,2025-09-30 23:35:00,8.6,8.6,7.7,0,0,0,263,0,2.8,3,11,11,1014.3,94,0,0,12.4,68,1,719.2,1,12.4,6.7
2025-09-30T23:30:00-05:00,2025-09-30 23:30:00,8.6,8.6,7.7,0,0,0,268,0,2.8,3,11,11,1014.3,94,0,0,12.3,68,1,719.2,1,12.3,6.6
2025-09-30T23:25:00-05:00,2025-09-30 23:25:00,8.5,8.5,7.6,0,0,0,271,0,2.8,3,11,11,1014.2,94,0,0,12.2,68,1,719.1,1,12.2,6.5
2025-09-30T23:20:00-05:00,2025-09-30 23:20:00,8.5,8.5,7.7,0,0,0,274,0,2.8,3,11,11,1014.2,95,0,0,12.1,69,1,719.1,1,12.1,6.6
2025-09-30T23:15:00-05:00,2025-09-30 23:15:00,8.5,8.5,7.7,0,0,0,260,0,2.8,3,11,11,1014.4,95,0,0,12,69,1,719.3,1,12,6.5
2025-09-30T23:10:00-05:00,2025-09-30 23:10:00,8.4,8.4,7.6,0,0,0,266,0,2.8,3,11,11,1014.4,95,0,0,11.6,70,1,719.3,1,11.6,6.3
2025-09-30T23:05:00-05:00,2025-09-30 23:05:00,8.4,8.4,7.6,0,0,0,264,0,2.8,3,11,11,1014.5,95,0,0,11.5,71,1,719.4,1,11.5,6.4
2025-09-30T23:00:00-05:00,2025-09-30 23:00:00,8.4,8.4,7.6,0,0,0,264,0,2.8,3,11,11,1014.3,95,0,0,11.2,71,1,719.2,1,11.2,6.2
2025-09-30T22:55:00-05:00,2025-09-30 22:55:00,8.2,8.2,7.5,0,0,0,267,0,2.8,3,11,11,1014.5,95,0,0,11.1,71,1,719.4,1,11.1,6.1
2025-09-30T22:50:00-05:00,2025-09-30 22:50:00,8,8,7.4,0,0,0,263,0,2.8,3,11,11,1014.6,96,0,0,11.1,70,1,719.5,1,11.1,5.8
2025-09-30T22:45:00-05:00,2025-09-30 22:45:00,7.9,7.9,7.4,0,0,0,264,0,2.8,3,11,11,1014.7,97,0,0,11.3,70,1,719.6,1,11.3,6
2025-09-30T22:40:00-05:00,2025-09-30 22:40:00,8.1,8.1,7.8,0,0,0,261,0,2.8,3,11,11,1014.6,98,0,0,11.6,70,1,719.5,1,11.6,6.3
2025-09-30T22:35:00-05:00,2025-09-30 22:35:00,8.3,8.3,8,0,0,0,267,0,2.8,3,11,11,1014.7,98,0,0,12,69,1,719.6,1,12,6.5
2025-09-30T22:30:00-05:00,2025-09-30 22:30:00,8.1,8.1,7.7,0,0,0,266,0,2.8,3,11,11,1014.8,97,0,0,12.7,67,1,719.7,1,12.7,6.8
2025-09-30T22:25:00-05:00,2025-09-30 22:25:00,8.3,8.3,7.8,0,0,0,266,0,2.8,3,11,11,1014.7,97,0,0,12.9,68,1,719.6,1,12.9,7.1
2025-09-30T22:20:00-05:00,2025-09-30 22:20:00,8.4,8.4,7.9,0,0,0,262,0,2.8,3,11,11,1014.7,97,0,0,12.9,68,1,719.6,1,12.9,7.1
2025-09-30T22:15:00-05:00,2025-09-30 22:15:00,8.6,8.6,8.2,0,0,0,259,0,2.8,3,11,11,1014.7,97,0,0,12.7,68,1,719.6,1,12.7,6.9
2025-09-30T22:10:00-05:00,2025-09-30 22:10:00,8.6,8.6,8.2,0,0,0,268,0,2.8,3,11,11,1014.8,97,0,0,12.7,69,1,719.7,1,12.7,7.2
2025-09-30T22:05:00-05:00,2025-09-30 22:05:00,9,9,8.5,0,0,0,269,0,2.8,3,11,11,1014.8,97,0,0,12.9,69,1,719.7,1,12.9,7.3
2025-09-30T22:00:00-05:00,2025-09-30 22:00:00,9.2,9.2,8.8,0,0,0,279,0,2.8,3,11,11,1014.9,97,0,0,13,69,1,719.8,1,13,7.4
2025-09-30T21:55:00-05:00,2025-09-30 21:55:00,9.2,9.2,8.6,0,0,0,263,0,2.8,3,11,11,1014.7,96,0,0,12.8,69,1,719.6,1,12.8,7.2
2025-09-30T21:50:00-05:00,2025-09-30 21:50:00,9.4,9.4,8.8,0,0,0,263,0,2.8,3,11,11,1014.8,96,0,0,12.9,69,1,719.7,1,12.9,7.3
2025-09-30T21:45:00-05:00,2025-09-30 21:45:00,9.8,9.8,9.2,0,0,0,274,0,2.8,3,11,11,1014.6,96,0,0,13.4,69,1,719.5,1,13.4,7.8
2025-09-30T21:40:00-05:00,2025-09-30 21:40:00,9.8,9.8,9.3,0,0,0,274,0,2.8,3,11,11,1014.7,97,0,0,13.4,69,1,719.6,1,13.4,7.8
2025-09-30T21:35:00-05:00,2025-09-30 21:35:00,9.8,9.8,9.3,0,0,0,261,0,2.8,3,11,11,1014.8,97,0,0,13.2,70,1,719.7,1,13.2,7.9
2025-09-30T21:30:00-05:00,2025-09-30 21:30:00,9.8,9.8,9.3,0,0,0,260,0,2.8,3,11,11,1014.9,97,0,0,13.2,70,1,719.8,1,13.2,7.9
2025-09-30T21:26:00-05:00,2025-09-30 21:26:00,9.8,9.8,9.3,0,0,0,261,0,2.8,3,11,11,1014.7,97,0,0,13.3,70,1,719.6,1,13.3,7.9
2025-09-30T21:20:00-05:00,2025-09-30 21:20:00,9.8,9.8,9.5,0,0,0,261,0,2.8,3,11,11,1014.8,98,0,0,13,71,1,719.7,1,13,7.9
2025-09-30T21:15:00-05:00,2025-09-30 21:15:00,9.9,9.9,9.6,0,0,0,258,0,2.8,3,11,11,1014.5,98,0,0,13.3,70,1,719.4,1,13.3,7.9
2025-09-30T21:10:00-05:00,2025-09-30 21:10:00,9.9,9.9,9.4,0,0,0,260,0,2.8,3,11,11,1014.7,97,0,0,13.6,69,1,719.6,1,13.6,8.1
2025-09-30T21:05:00-05:00,2025-09-30 21:05:00,10,10,9.5,0,0,0,262,0,2.8,3,11,11,1014.7,97,0,0,13.9,69,1,719.6,1,13.9,8.3
2025-09-30T21:00:00-05:00,2025-09-30 21:00:00,10.1,10.1,9.7,0,0,0,264,0,2.8,3,11,11,1014.5,97,0,0,13.8,69,1,719.4,1,13.8,8.2
2025-09-30T20:55:00-05:00,2025-09-30 20:55:00,10.1,10.1,9.7,0,0,0,276,0,2.8,3,11,11,1014.6,97,0,0,13.7,69,1,719.5,1,13.7,8.1
2025-09-30T20:50:00-05:00,2025-09-30 20:50:00,10.2,10.2,9.8,0,0,0,267,0,2.8,3,11,11,1014.7,97,0,0,13.7,70,1,719.6,1,13.7,8.3
2025-09-30T20:45:00-05:00,2025-09-30 20:45:00,10.5,10.5,9.7,0,0,0,279,0,2.8,3,11,11,1014.5,95,0,0,13.3,70,1,719.4,1,13.3,7.9
2025-09-30T20:40:00-05:00,2025-09-30 20:40:00,10.5,10.5,9.4,0,0,0,263,0,2.8,3,11,11,1014.6,93,0,0,13,71,1,719.5,1,13,7.9
2025-09-30T20:35:00-05:00,2025-09-30 20:35:00,10.5,10.5,9.4,0,0,0,266,0,2.8,3,11,11,1014.4,93,0,0,13.1,70,1,719.3,1,13.1,7.8
2025-09-30T20:30:00-05:00,2025-09-30 20:30:00,10.6,10.6,9.7,0,0,0,262,0,2.8,3,11,11,1014.5,94,0,0,13.3,70,1,719.4,1,13.3,7.9
2025-09-30T20:25:00-05:00,2025-09-30 20:25:00,10.6,10.6,9.7,0,0,0,266,0,2.8,3,11,11,1014.5,94,0,0,13.2,70,1,719.4,1,13.2,7.9
2025-09-30T20:20:00-05:00,2025-09-30 20:20:00,10.6,10.6,9.7,0,0,0,267,0,2.8,3,11,11,1014.5,94,0,0,13.3,70,1,719.4,1,13.3,7.9
2025-09-30T20:15:00-05:00,2025-09-30 20:15:00,10.6,10.6,9.7,0,0,0,267,0,2.8,3,11,11,1014.7,94,0,0,13.3,69,1,719.6,1,13.3,7.7
2025-09-30T20:10:00-05:00,2025-09-30 20:10:00,10.6,10.6,9.5,0,0,0,262,0,2.8,3,11,11,1014.5,93,0,0,13.5,69,1,719.4,1,13.5,7.9
2025-09-30T20:05:00-05:00,2025-09-30 20:05:00,10.7,10.7,9.8,0,0,0,264,0,2.8,3,11,11,1014.5,94,0,0,14,68,1,719.4,1,14,8.2
2025-09-30T20:00:00-05:00,2025-09-30 20:00:00,10.6,10.6,9.5,0,0,0,265,0,2.8,3,11,11,1014.5,93,0,0,14,68,1,719.4,1,14,8.2
2025-09-30T19:55:00-05:00,2025-09-30 19:55:00,10.6,10.6,9.5,0,0,0,265,0,2.8,3,11,11,1014.4,93,0,0,13.8,69,1,719.3,1,13.8,8.2
2025-09-30T19:50:00-05:00,2025-09-30 19:50:00,10.6,10.6,9.5,0,0,0,269,0,2.8,3,11,11,1014.4,93,0,0,13.3,70,1,719.3,1,13.3,7.9
2025-09-30T19:45:00-05:00,2025-09-30 19:45:00,10.6,10.6,9.5,0,0,0,266,0,2.8,3,11,11,1014.4,93,0,0,13.3,69,1,719.3,1,13.3,7.7
2025-09-30T19:40:00-05:00,2025-09-30 19:40:00,10.6,10.6,9.7,0,0,0,258,0,2.8,3,11,11,1014.3,94,0,0,13.2,70,1,719.2,1,13.2,7.9
2025-09-30T19:35:00-05:00,2025-09-30 19:35:00,10.5,10.5,9.6,0,0,0,261,0,2.8,3,11,11,1014.4,94,0,0,13.3,69,1,719.3,1,13.3,7.7
2025-09-30T19:30:00-05:00,2025-09-30 19:30:00,10.4,10.4,9.5,0,0,0,249,0,2.8,3,11,11,1014.2,94,0,0,13.5,70,1,719.1,1,13.5,8.1
2025-09-30T19:25:00-05:00,2025-09-30 19:25:00,10.4,10.4,9.6,0,0,0,263,0,2.8,3,11,11,1014.2,95,0,0,13.5,70,1,719.1,1,13.5,8.1
2025-09-30T19:20:00-05:00,2025-09-30 19:20:00,10.4,10.4,9.8,0,0,0,189,0,2.8,3,11,11,1014.3,96,0,0,13.6,71,1,719.2,1,13.6,8.4
2025-09-30T19:15:00-05:00,2025-09-30 19:15:00,10.4,10.4,10.1,0,0,0,180,0,2.8,3,11,11,1014.3,98,0,0,13.9,70,1,719.2,1,13.9,8.5
2025-09-30T19:10:00-05:00,2025-09-30 19:10:00,10.4,10.4,10.1,0,0,0,263,0,2.8,3,11,11,1014.1,98,0,0,14.1,71,1,719,1,14.1,8.9
