"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-12-09T10:40:00-05:00,2025-12-09 10:40:00,17.3,17.3,-8.8,0,0,3.6,245,0,0,3.6,0,182.8,1013.7,16,6,669.7,18.7,18,1,717.8,1,18.7,-6.1
2025-12-09T10:35:00-05:00,2025-12-09 10:35:00,17.3,17.3,-7.3,0,0,3.6,304,0,0,3.6,0,182.8,1014,18,6,658.6,18.7,18,1,718.1,1,18.7,-6.1
2025-12-09T10:30:00-05:00,2025-12-09 10:30:00,17.4,17.4,-7.9,0,0,3.6,255,0,0,3.6,0,182.8,1013.9,17,6,635.3,18.5,18,1,718,1,18.5,-6.3
2025-12-09T10:25:00-05:00,2025-12-09 10:25:00,17.4,17.4,-7.9,0,0,3.6,267,0,0,3.6,0,182.8,1013.8,17,6,641.2,18.5,18,1,717.9,1,18.5,-6.3
2025-12-09T10:20:00-05:00,2025-12-09 10:20:00,17.6,17.6,-5.6,0,0,3.6,273,0,0,3.6,0,182.8,1013.9,20,4,428.3,18.4,19,1,718,1,18.4,-5.7
2025-12-09T10:15:00-05:00,2025-12-09 10:15:00,17.7,17.7,-5.5,0,0,3.6,239,0,0,3.6,0,182.8,1014,20,1,129.7,18.3,19,1,718.1,1,18.3,-5.7
2025-12-09T10:10:00-05:00,2025-12-09 10:10:00,17.4,17.4,-7.9,0,0,3.6,281,0,0,3.6,0,182.8,1014.1,17,5,592.2,18.2,18,1,718.2,1,18.2,-6.5
2025-12-09T10:05:00-05:00,2025-12-09 10:05:00,17.1,17.1,-8.9,0,0,3.6,260,0,0,3.6,0,182.8,1014.1,16,5,600.5,18.1,19,1,718.2,1,18.1,-5.9
2025-12-09T10:00:00-05:00,2025-12-09 10:00:00,17.1,17.1,-8.9,0,0,3.6,240,0,0,3.6,0,182.8,1014.2,16,5,597.2,18,19,1,718.3,1,18,-5.9
2025-12-09T09:55:00-05:00,2025-12-09 09:55:00,17.1,17.1,-7.4,0,0,3.6,252,0,0,3.6,0,182.8,1014.2,18,5,584.1,17.8,19,1,718.3,1,17.8,-6.2
2025-12-09T09:50:00-05:00,2025-12-09 09:50:00,17.1,17.1,-8.1,0,0,3.6,240,0,0,3.6,0,182.8,1014.1,17,5,572.8,17.7,19,1,718.2,1,17.7,-6.2
2025-12-09T09:45:00-05:00,2025-12-09 09:45:00,17.4,17.4,-8.7,0,0,3.6,250,0,0,3.6,0,182.8,1014.3,16,5,558.8,17.5,20,1,718.4,1,17.5,-5.7
2025-12-09T09:40:00-05:00,2025-12-09 09:40:00,17.3,17.3,-6.6,0,0,3.6,214,0,0,3.6,0,182.8,1014.3,19,5,551.6,17.4,20,1,718.4,1,17.4,-5.8
2025-12-09T09:35:00-05:00,2025-12-09 09:35:00,17.4,17.4,-5.8,0,0,3.6,271,0,0,3.6,0,182.8,1014.3,20,5,530.2,17.2,20,1,718.4,1,17.2,-5.9
2025-12-09T09:30:00-05:00,2025-12-09 09:30:00,17.1,17.1,-7.4,0,0,3.6,257,0,0,3.6,0,182.8,1014.3,18,5,519,17,20,1,718.4,1,17,-6.1
2025-12-09T09:25:00-05:00,2025-12-09 09:25:00,17.1,17.1,-6.7,0.4,1.8,3.6,258,0,0,3.6,0,182.8,1014.3,19,4,435.3,16.9,20,1,718.4,1,16.9,-6.2
2025-12-09T09:20:00-05:00,2025-12-09 09:20:00,17.2,17.2,-7.3,0,0,3.6,266,0,0,3.6,0,182.8,1014.2,18,4,433.3,16.7,20,1,718.3,1,16.7,-6.3
2025-12-09T09:15:00-05:00,2025-12-09 09:15:00,16.9,16.9,-7.6,0,0,3.6,233,0,0,3.6,0,182.8,1014.3,18,4,479.6,16.5,20,1,718.4,1,16.5,-6.6
2025-12-09T09:10:00-05:00,2025-12-09 09:10:00,17.2,17.2,-10.5,0,0,3.6,228,0,0,3.6,0,182.8,1014.2,14,4,466.5,16.3,20,1,718.3,1,16.3,-6.7
2025-12-09T09:05:00-05:00,2025-12-09 09:05:00,16.7,16.7,-8.5,0,0,3.6,278,0,0,3.6,0,182.8,1014.3,17,4,449.1,16.1,20,1,718.4,1,16.1,-6.8
2025-12-09T09:00:00-05:00,2025-12-09 09:00:00,17,17,-9,0,0,3.6,253,0,0,3.6,0,182.8,1014.3,16,4,431.4,15.9,21,1,718.4,1,15.9,-6.4
2025-12-09T08:55:00-05:00,2025-12-09 08:55:00,18.5,18.5,-7.8,0,0,3.6,275,0,0,3.6,0,182.8,1014.2,16,4,419.2,15.7,21,1,718.3,1,15.7,-6.6
2025-12-09T08:50:00-05:00,2025-12-09 08:50:00,18,18,-8.2,0,0,3.6,288,0,0,3.6,0,182.8,1014.2,16,3,402,15.5,21,1,718.3,1,15.5,-6.7
2025-12-09T08:45:00-05:00,2025-12-09 08:45:00,19,19,-3.8,0,0,3.6,291,0,0,3.6,0,182.8,1014.1,21,3,386.6,15.3,21,1,718.2,1,15.3,-6.9
2025-12-09T08:40:00-05:00,2025-12-09 08:40:00,18.8,18.8,-5.3,0,0,3.6,305,0,0,3.6,0,182.8,1014.3,19,3,372.1,15.2,21,1,718.4,1,15.2,-6.9
2025-12-09T08:35:00-05:00,2025-12-09 08:35:00,18.2,18.2,-3.9,0,0,3.6,81,0,0,3.6,0,182.8,1014.1,22,3,360.4,15,20,1,718.2,1,15,-7.8
2025-12-09T08:30:00-05:00,2025-12-09 08:30:00,17.5,17.5,-4.5,0,0,3.6,298,0,0,3.6,0,182.8,1014,22,3,344.6,14.7,20,1,718.1,1,14.7,-8
2025-12-09T08:25:00-05:00,2025-12-09 08:25:00,17.4,17.4,-2.3,0,0,3.6,307,0,0,3.6,0,182.8,1014.2,26,3,338.3,14.5,21,1,718.3,1,14.5,-7.6
2025-12-09T08:20:00-05:00,2025-12-09 08:20:00,17,17,-3.7,0,0,3.6,297,0,0,3.6,0,182.8,1014.2,24,3,323.6,14.2,21,1,718.3,1,14.2,-7.8
2025-12-09T08:15:00-05:00,2025-12-09 08:15:00,16.1,16.1,-7.5,0,0,3.6,77,0,0,3.6,0,182.8,1014.1,19,3,311.3,14,20,1,718.2,1,14,-8.6
2025-12-09T08:10:00-05:00,2025-12-09 08:10:00,15.3,15.3,-7.5,0,0,3.6,328,0,0,3.6,0,182.8,1014.1,20,2,295.8,13.7,20,1,718.2,1,13.7,-8.8
2025-12-09T08:05:00-05:00,2025-12-09 08:05:00,14.9,14.9,-7.2,0,0,3.6,70,0,0,3.6,0,182.8,1013.9,21,2,276.5,13.4,21,1,718,1,13.4,-8.5
