"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-12-31T23:55:00-05:00,2025-12-31 23:55:00,10.2,10.2,10.1,0,0,7.2,266,0,0.8,0.8,6.1,188.9,1015.3,99,0,0,12.7,79,1,718.9,1,12.7,9.2
2025-12-31T23:50:00-05:00,2025-12-31 23:50:00,10.3,10.3,10.1,0,0,7.2,271,0,0.8,0.8,6.1,188.9,1015.3,99,0,0,12.8,79,1,718.9,1,12.8,9.2
2025-12-31T23:45:00-05:00,2025-12-31 23:45:00,10.2,10.2,10.1,0,0,7.2,270,0,0.8,0.8,6.1,188.9,1015.2,99,0,0,12.9,79,1,718.8,1,12.9,9.3
2025-12-31T23:40:00-05:00,2025-12-31 23:40:00,10.3,10.3,10.1,0,0,7.2,271,0,0.8,0.8,6.1,188.9,1015.4,99,0,0,13,78,1,719,1,13,9.3
2025-12-31T23:35:00-05:00,2025-12-31 23:35:00,10.4,10.4,10.2,0,0,7.2,274,0,0.8,0.8,6.1,188.9,1015.1,99,0,0,13.1,78,1,718.7,1,13.1,9.3
2025-12-31T23:30:00-05:00,2025-12-31 23:30:00,10.4,10.4,10.2,0,0,7.2,268,0,0.8,0.8,6.1,188.9,1015.3,99,0,0,13,78,1,718.9,1,13,9.3
2025-12-31T23:25:00-05:00,2025-12-31 23:25:00,10.4,10.4,10.2,0,0,7.2,268,0,0.8,0.8,6.1,188.9,1015.3,99,0,0,12.9,79,1,718.9,1,12.9,9.3
2025-12-31T23:20:00-05:00,2025-12-31 23:20:00,10.4,10.4,10.2,0,0,7.2,270,0,0.8,0.8,6.1,188.9,1015.5,99,0,0,12.8,79,1,719.1,1,12.8,9.2
2025-12-31T23:16:00-05:00,2025-12-31 23:16:00,10.4,10.4,10.2,0,0,7.2,269,0,0.8,0.8,6.1,188.9,1015.5,99,0,0,13,78,1,719.1,1,13,9.3
2025-12-31T23:10:00-05:00,2025-12-31 23:10:00,10.4,10.4,10.2,0,0,7.2,258,0,0.8,0.8,6.1,188.9,1015.6,99,0,0,13,78,1,719.2,1,13,9.3
