"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-02-28T23:55:00-05:00,2026-02-28 23:55:00,12.3,12.3,12.1,0,0,0,280,0,0.5,16.3,80.8,366.9,1014.1,99,0,0,17.8,86,1,731.8,1,17.8,15.4
2026-02-28T23:50:00-05:00,2026-02-28 23:50:00,12.3,12.3,12.1,0,0,0,280,0,0.5,16.3,80.8,366.9,1014.4,99,0,0,17.8,86,1,732.1,1,17.8,15.4
2026-02-28T23:45:00-05:00,2026-02-28 23:45:00,12.2,12.2,12.1,0,0,0,280,0,0.5,16.3,80.8,366.9,1014.7,99,0,0,17.8,86,1,732.4,1,17.8,15.4
2026-02-28T23:40:00-05:00,2026-02-28 23:40:00,12.2,12.2,12.1,0,0,0,279,0,0.5,16.3,80.8,366.9,1014.6,99,0,0,17.8,86,1,732.3,1,17.8,15.4
2026-02-28T23:35:00-05:00,2026-02-28 23:35:00,12.2,12.2,12.1,0,0,0,281,0,0.5,16.3,80.8,366.9,1014.3,99,0,0,17.9,86,1,732,1,17.9,15.5
2026-02-28T23:30:00-05:00,2026-02-28 23:30:00,12.2,12.2,12.1,0,0,0,280,0,0.5,16.3,80.8,366.9,1014.3,99,0,0,17.9,86,1,732,1,17.9,15.5
2026-02-28T23:25:00-05:00,2026-02-28 23:25:00,12.2,12.2,12.1,0,0,0,279,0,0.5,16.3,80.8,366.9,1014.1,99,0,0,17.9,86,1,731.8,1,17.9,15.5
2026-02-28T23:20:00-05:00,2026-02-28 23:20:00,12.3,12.3,12.1,0,0,0,282,0,0.5,16.3,80.8,366.9,1014,99,0,0,17.9,86,1,731.7,1,17.9,15.5
2026-02-28T23:15:00-05:00,2026-02-28 23:15:00,12.3,12.3,12.1,0,0,0,282,0,0.5,16.3,80.8,366.9,1014.2,99,0,0,17.9,86,1,731.9,1,17.9,15.5
2026-02-28T23:10:00-05:00,2026-02-28 23:10:00,12.4,12.4,12.2,0,0,0,282,0,0.5,16.3,80.8,366.9,1014.1,99,0,0,17.9,86,1,731.8,1,17.9,15.5
2026-02-28T23:05:00-05:00,2026-02-28 23:05:00,12.5,12.5,12.3,0,0,0,282,0,0.5,16.3,80.8,366.9,1014.2,99,0,0,17.9,86,1,731.9,1,17.9,15.5
2026-02-28T23:00:00-05:00,2026-02-28 23:00:00,12.5,12.5,12.3,0,0,0,281,0,0.5,16.3,80.8,366.9,1014.3,99,0,0,17.9,86,1,732,1,17.9,15.5
2026-02-28T22:55:00-05:00,2026-02-28 22:55:00,12.5,12.5,12.3,0,0,0,281,0,0.5,16.3,80.8,366.9,1014.4,99,0,0,18,86,1,732.1,1,18,15.6
2026-02-28T22:50:00-05:00,2026-02-28 22:50:00,12.6,12.6,12.5,0,0,0,281,0,0.5,16.3,80.8,366.9,1014.5,99,0,0,18,86,1,732.2,1,18,15.6
2026-02-28T22:45:00-05:00,2026-02-28 22:45:00,12.6,12.6,12.5,0,0,0,281,3,0.5,16.3,80.8,366.9,1014.5,99,0,0,18,86,1,732.2,1,18,15.6
2026-02-28T22:40:00-05:00,2026-02-28 22:40:00,12.6,12.6,12.5,0,0,0,278,3,0.5,16.3,80.8,366.9,1014.5,99,0,0,18.1,86,1,732.2,1,18.1,15.7
2026-02-28T22:35:00-05:00,2026-02-28 22:35:00,12.7,12.7,12.6,0,0,0,281,0,0,15.8,80.3,366.4,1014.4,99,0,0,18.1,87,1,732.1,1,18.1,15.9
2026-02-28T22:30:00-05:00,2026-02-28 22:30:00,12.7,12.7,12.6,0,0,0,280,0,0,15.8,80.3,366.4,1014.5,99,0,0,18.1,87,1,732.2,1,18.1,15.9
2026-02-28T22:25:00-05:00,2026-02-28 22:25:00,12.7,12.7,12.6,0,0,0,278,0,0,15.8,80.3,366.4,1014.5,99,0,0,18.2,87,1,732.2,1,18.2,16
