"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-03-31T23:55:00-05:00,2026-03-31 23:55:00,10.7,10.7,9.8,0,0,0,281,0,0,0,27.2,394.1,1015.1,94,0,0,18.2,76,1,733.7,1,18.2,13.9
2026-03-31T23:50:00-05:00,2026-03-31 23:50:00,10.8,10.8,10,0,0,0,281,0,0,0,27.2,394.1,1015.3,95,0,0,18.3,76,1,733.9,1,18.3,13.9
2026-03-31T23:45:00-05:00,2026-03-31 23:45:00,10.9,10.9,10.1,0,0,0,281,0,0,0,27.2,394.1,1015.2,95,0,0,18.3,76,1,733.8,1,18.3,13.9
2026-03-31T23:40:00-05:00,2026-03-31 23:40:00,10.9,10.9,10,0,0,0,278,0,0,0,27.2,394.1,1015.4,94,0,0,18.3,76,1,734,1,18.3,13.9
2026-03-31T23:35:00-05:00,2026-03-31 23:35:00,11,11,10.4,0,0,0,281,0,0,0,27.2,394.1,1015.3,96,0,0,18.3,76,1,733.9,1,18.3,13.9
2026-03-31T23:30:00-05:00,2026-03-31 23:30:00,10.9,10.9,10.3,0,0,0,281,0,0,0,27.2,394.1,1015.4,96,0,0,18.4,76,1,734,1,18.4,14.1
2026-03-31T23:25:00-05:00,2026-03-31 23:25:00,10.9,10.9,10.3,0,0,0,281,0,0,0,27.2,394.1,1015.5,96,0,0,18.3,76,1,734.1,1,18.3,13.9
2026-03-31T23:20:00-05:00,2026-03-31 23:20:00,10.9,10.9,10.4,0,0,0,283,0,0,0,27.2,394.1,1015.5,97,0,0,18.4,76,1,734.1,1,18.4,14.1
2026-03-31T23:15:00-05:00,2026-03-31 23:15:00,10.9,10.9,10.6,0,0,0,283,0,0,0,27.2,394.1,1015.4,98,0,0,18.4,76,1,734,1,18.4,14.1
2026-03-31T23:10:00-05:00,2026-03-31 23:10:00,10.9,10.9,10.6,0,0,0,278,0,0,0,27.2,394.1,1015.3,98,0,0,18.4,76,1,733.9,1,18.4,14.1
2026-03-31T23:05:00-05:00,2026-03-31 23:05:00,11.1,11.1,11,0,0,0,278,0,0,0,27.2,394.1,1015.3,99,0,0,18.4,76,1,733.9,1,18.4,14.1
2026-03-31T23:00:00-05:00,2026-03-31 23:00:00,11.5,11.5,11.3,0,0,0,279,0,0,0,27.2,394.1,1015.1,99,0,0,18.5,76,1,733.7,1,18.5,14.2
2026-03-31T22:55:00-05:00,2026-03-31 22:55:00,11.5,11.5,11.3,0,0,0,280,0,0,0,27.2,394.1,1014.9,99,0,0,18.4,76,1,733.5,1,18.4,14.1
2026-03-31T22:50:00-05:00,2026-03-31 22:50:00,11.5,11.5,11.3,0,0,0,280,0,0,0,27.2,394.1,1015.2,99,0,0,18.5,76,1,733.8,1,18.5,14.2
2026-03-31T22:46:00-05:00,2026-03-31 22:46:00,11.6,11.6,11.5,0,0,0,279,0,0,0,27.2,394.1,1015.3,99,0,0,18.5,76,1,733.9,1,18.5,14.2
2026-03-31T22:40:00-05:00,2026-03-31 22:40:00,11.5,11.5,11.3,0,0,0,277,0,0,0,27.2,394.1,1015.1,99,0,0,18.5,76,1,733.7,1,18.5,14.2
2026-03-31T22:35:00-05:00,2026-03-31 22:35:00,11.5,11.5,11.3,0,0,0,282,0,0,0,27.2,394.1,1015.1,99,0,0,18.5,76,1,733.7,1,18.5,14.2
2026-03-31T22:30:00-05:00,2026-03-31 22:30:00,11.4,11.4,11.2,0,0,0,287,0,0,0,27.2,394.1,1014.9,99,0,0,18.6,76,1,733.5,1,18.6,14.3
2026-03-31T22:25:00-05:00,2026-03-31 22:25:00,11.4,11.4,11.2,0,0,0,274,0,0,0,27.2,394.1,1014.9,99,0,0,18.6,76,1,733.5,1,18.6,14.3
2026-03-31T22:20:00-05:00,2026-03-31 22:20:00,11.2,11.2,11.1,0,0,0,273,0,0,0,27.2,394.1,1014.7,99,0,0,18.6,76,1,733.3,1,18.6,14.3
2026-03-31T22:15:00-05:00,2026-03-31 22:15:00,11.3,11.3,11.1,0,0,0,284,0,0,0,27.2,394.1,1014.9,99,0,0,18.6,76,1,733.5,1,18.6,14.3
2026-03-31T22:10:00-05:00,2026-03-31 22:10:00,11.4,11.4,11.2,0,0,0,284,0,0,0,27.2,394.1,1014.7,99,0,0,18.7,76,1,733.3,1,18.7,14.4
2026-03-31T22:05:00-05:00,2026-03-31 22:05:00,11.4,11.4,11.2,0,0,0,286,0,0,0,27.2,394.1,1014.7,99,0,0,18.7,76,1,733.3,1,18.7,14.4
2026-03-31T22:00:00-05:00,2026-03-31 22:00:00,11.4,11.4,11.2,0,0,0,282,0,0,0,27.2,394.1,1014.8,99,0,0,18.7,76,1,733.4,1,18.7,14.4
2026-03-31T21:55:00-05:00,2026-03-31 21:55:00,11.5,11.5,11.3,0,0,0,282,0,0,0,27.2,394.1,1014.4,99,0,0,18.7,76,1,733,1,18.7,14.4
2026-03-31T21:50:00-05:00,2026-03-31 21:50:00,11.5,11.5,11.3,0,0,0,285,0,0,0,27.2,394.1,1014.6,99,0,0,18.8,76,1,733.2,1,18.8,14.4
2026-03-31T21:45:00-05:00,2026-03-31 21:45:00,11.6,11.6,11.5,0,0,0,284,0,0,0,27.2,394.1,1014.8,99,0,0,18.8,76,1,733.4,1,18.8,14.4
2026-03-31T21:40:00-05:00,2026-03-31 21:40:00,11.7,11.7,11.6,0,0,0,284,0,0,0,27.2,394.1,1014.7,99,0,0,18.9,76,1,733.3,1,18.9,14.6
2026-03-31T21:35:00-05:00,2026-03-31 21:35:00,11.8,11.8,11.6,0,0,0,287,0,0,0,27.2,394.1,1014.5,99,0,0,19,76,1,733.1,1,19,14.7
2026-03-31T21:30:00-05:00,2026-03-31 21:30:00,11.9,11.9,11.7,0,0,0,277,0,0,0,27.2,394.1,1014.6,99,0,0,19,77,1,733.2,1,19,14.9
2026-03-31T21:25:00-05:00,2026-03-31 21:25:00,11.9,11.9,11.7,0,0,0,282,0,0,0,27.2,394.1,1014.5,99,0,0,19,77,1,733.1,1,19,14.9
2026-03-31T21:20:00-05:00,2026-03-31 21:20:00,11.9,11.9,11.7,0,0,0,282,0,0,0,27.2,394.1,1014.5,99,0,0,19.1,76,1,733.1,1,19.1,14.8
2026-03-31T21:15:00-05:00,2026-03-31 21:15:00,11.9,11.9,11.7,0,0,0,281,0,0,0,27.2,394.1,1014.6,99,0,0,19.1,76,1,733.2,1,19.1,14.8
2026-03-31T21:10:00-05:00,2026-03-31 21:10:00,11.9,11.9,11.7,0,0,0,279,0,0,0,27.2,394.1,1014.3,99,0,0,19.1,76,1,732.9,1,19.1,14.8
2026-03-31T21:05:00-05:00,2026-03-31 21:05:00,11.8,11.8,11.6,0,0,0,280,0,0,0,27.2,394.1,1014.3,99,0,0,19.1,76,1,732.9,1,19.1,14.8
2026-03-31T21:00:00-05:00,2026-03-31 21:00:00,11.9,11.9,11.7,0,0,0,280,0,0,0,27.2,394.1,1014.3,99,0,0,19.1,76,1,732.9,1,19.1,14.8
2026-03-31T20:55:00-05:00,2026-03-31 20:55:00,11.9,11.9,11.7,0,0,0,280,0,0,0,27.2,394.1,1014.2,99,0,0,19.1,76,1,732.8,1,19.1,14.8
2026-03-31T20:50:00-05:00,2026-03-31 20:50:00,11.9,11.9,11.7,0,0,0,283,0,0,0,27.2,394.1,1014,99,0,0,19.1,76,1,732.6,1,19.1,14.8
2026-03-31T20:45:00-05:00,2026-03-31 20:45:00,11.9,11.9,11.7,0,0,0,280,0,0,0,27.2,394.1,1014,99,0,0,19.1,76,1,732.6,1,19.1,14.8
2026-03-31T20:40:00-05:00,2026-03-31 20:40:00,11.9,11.9,11.7,0,0,0,278,0,0,0,27.2,394.1,1013.9,99,0,0,19.1,76,1,732.5,1,19.1,14.8
2026-03-31T20:35:00-05:00,2026-03-31 20:35:00,11.9,11.9,11.7,0,0,0,276,0,0,0,27.2,394.1,1013.9,99,0,0,19.1,76,1,732.5,1,19.1,14.8
2026-03-31T20:30:00-05:00,2026-03-31 20:30:00,11.9,11.9,11.7,0,0,0,290,0,0,0,27.2,394.1,1013.7,99,0,0,19.2,76,1,732.3,1,19.2,14.9
2026-03-31T20:25:00-05:00,2026-03-31 20:25:00,11.7,11.7,11.6,0,0,0,278,0,0,0,27.2,394.1,1013.6,99,0,0,19.2,76,1,732.2,1,19.2,14.9
2026-03-31T20:20:00-05:00,2026-03-31 20:20:00,11.6,11.6,11.5,0,0,0,278,0,0,0,27.2,394.1,1013.6,99,0,0,19.2,76,1,732.2,1,19.2,14.9
2026-03-31T20:15:00-05:00,2026-03-31 20:15:00,11.6,11.6,11.5,0,0,0,279,0,0,0,27.2,394.1,1013.5,99,0,0,19.2,76,1,732.1,1,19.2,14.9
2026-03-31T20:10:00-05:00,2026-03-31 20:10:00,11.7,11.7,11.6,0,0,0,279,0,0,0,27.2,394.1,1013.2,99,0,0,19.2,76,1,731.8,1,19.2,14.9
2026-03-31T20:05:00-05:00,2026-03-31 20:05:00,11.7,11.7,11.6,0,0,0,279,0,0,0,27.2,394.1,1013.3,99,0,0,19.2,76,1,731.9,1,19.2,14.9
2026-03-31T20:00:00-05:00,2026-03-31 20:00:00,11.7,11.7,11.6,0,0,0,278,0,0,0,27.2,394.1,1013.2,99,0,0,19.2,76,1,731.8,1,19.2,14.9
2026-03-31T19:55:00-05:00,2026-03-31 19:55:00,11.7,11.7,11.6,0,0,0,278,0,0,0,27.2,394.1,1013.3,99,0,0,19.2,76,1,731.9,1,19.2,14.9
2026-03-31T19:50:00-05:00,2026-03-31 19:50:00,11.8,11.8,11.6,0,0,0,278,0,0,0,27.2,394.1,1013.2,99,0,0,19.2,76,1,731.8,1,19.2,14.9
2026-03-31T19:45:00-05:00,2026-03-31 19:45:00,11.7,11.7,11.6,0,0,0,278,0,0,0,27.2,394.1,1013.2,99,0,0,19.1,76,1,731.8,1,19.1,14.8
2026-03-31T19:40:00-05:00,2026-03-31 19:40:00,11.7,11.7,11.6,0,0,0,278,0,0,0,27.2,394.1,1013.2,99,0,0,19.1,76,1,731.8,1,19.1,14.8
2026-03-31T19:35:00-05:00,2026-03-31 19:35:00,11.9,11.9,11.7,0,0,0,278,0,0,0,27.2,394.1,1013.3,99,0,0,19,76,1,731.9,1,19,14.7
2026-03-31T19:30:00-05:00,2026-03-31 19:30:00,11.9,11.9,11.7,0,0,0,278,0,0,0,27.2,394.1,1013.1,99,0,0,18.9,77,1,731.7,1,18.9,14.8
2026-03-31T19:25:00-05:00,2026-03-31 19:25:00,11.9,11.9,11.7,0,0,0,278,0,0,0,27.2,394.1,1013.3,99,0,0,18.8,78,1,731.9,1,18.8,14.8
2026-03-31T19:20:00-05:00,2026-03-31 19:20:00,12,12,11.8,0,0,0,277,0,0,0,27.2,394.1,1013.3,99,0,0,18.7,78,1,731.9,1,18.7,14.8
2026-03-31T19:15:00-05:00,2026-03-31 19:15:00,12,12,11.8,0,0,0,282,0,0,0,27.2,394.1,1013.2,99,0,0,18.6,78,1,731.8,1,18.6,14.7
