"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-04-30T23:55:00-05:00,2026-04-30 23:55:00,9.5,9.5,9.4,0,0,3.6,280,0,0,1.4,31.3,425.4,1013.3,99,0,0,17.5,76,1,731.8,1,17.5,13.2
2026-04-30T23:50:00-05:00,2026-04-30 23:50:00,9.6,9.6,9.5,0,0,3.6,281,0,0,1.4,31.3,425.4,1013.6,99,0,0,17.5,75,1,732.1,1,17.5,13
2026-04-30T23:45:00-05:00,2026-04-30 23:45:00,9.5,9.5,9.4,0,0,3.6,281,0,0,1.4,31.3,425.4,1013.4,99,0,0,17.6,75,1,731.9,1,17.6,13.1
2026-04-30T23:40:00-05:00,2026-04-30 23:40:00,9.5,9.5,9.4,0,0,3.6,280,0,0,1.4,31.3,425.4,1013.4,99,0,0,17.6,75,1,731.9,1,17.6,13.1
2026-04-30T23:35:00-05:00,2026-04-30 23:35:00,9.6,9.6,9.5,0,0,3.6,280,0,0,1.4,31.3,425.4,1013.5,99,0,0,17.6,75,1,732,1,17.6,13.1
2026-04-30T23:30:00-05:00,2026-04-30 23:30:00,9.5,9.5,9.4,0,0,3.6,283,0,0,1.4,31.3,425.4,1013.6,99,0,0,17.6,75,1,732.1,1,17.6,13.1
2026-04-30T23:25:00-05:00,2026-04-30 23:25:00,9.5,9.5,9.4,0,0,3.6,283,0,0,1.4,31.3,425.4,1013.5,99,0,0,17.7,75,1,732,1,17.7,13.2
2026-04-30T23:20:00-05:00,2026-04-30 23:20:00,9.5,9.5,9.4,0,0,3.6,284,0,0,1.4,31.3,425.4,1013.7,99,0,0,17.7,75,1,732.2,1,17.7,13.2
2026-04-30T23:15:00-05:00,2026-04-30 23:15:00,9.5,9.5,9.4,0,0,3.6,278,0,0,1.4,31.3,425.4,1013.7,99,0,0,17.7,75,1,732.2,1,17.7,13.2
2026-04-30T23:10:00-05:00,2026-04-30 23:10:00,9.4,9.4,9.2,0,0,3.6,281,0,0,1.4,31.3,425.4,1013.8,99,0,0,17.8,75,1,732.3,1,17.8,13.3
