"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-05-31T23:55:00-05:00,2026-05-31 23:55:00,11.2,11.2,11.1,0,0,7.2,203,0,0,0,2.4,427.8,1015,99,0,0,19.2,69,1,732.6,1,19.2,13.4
2026-05-31T23:50:00-05:00,2026-05-31 23:50:00,11.1,11.1,11,0,0,7.2,203,0,0,0,2.4,427.8,1015.3,99,0,0,19.3,69,1,732.9,1,19.3,13.4
2026-05-31T23:45:00-05:00,2026-05-31 23:45:00,11.2,11.2,11.1,0,0,7.2,188,0,0,0,2.4,427.8,1015.2,99,0,0,19.3,69,1,732.8,1,19.3,13.4
2026-05-31T23:40:00-05:00,2026-05-31 23:40:00,11.1,11.1,11,0,0,7.2,190,0,0,0,2.4,427.8,1015.3,99,0,0,19.3,69,1,732.9,1,19.3,13.4
2026-05-31T23:35:00-05:00,2026-05-31 23:35:00,11.2,11.2,11.1,0,0,7.2,187,0,0,0,2.4,427.8,1015.3,99,0,0,19.4,69,1,732.9,1,19.4,13.6
2026-05-31T23:30:00-05:00,2026-05-31 23:30:00,11.2,11.2,11.1,0,0,7.2,184,0,0,0,2.4,427.8,1015.4,99,0,0,19.4,69,1,733,1,19.4,13.6
2026-05-31T23:25:00-05:00,2026-05-31 23:25:00,11.2,11.2,11.1,0,0,7.2,185,0,0,0,2.4,427.8,1015.3,99,0,0,19.5,69,1,732.9,1,19.5,13.7
2026-05-31T23:20:00-05:00,2026-05-31 23:20:00,11.3,11.3,11.1,0,0,7.2,203,0,0,0,2.4,427.8,1015.4,99,0,0,19.4,69,1,733,1,19.4,13.6
2026-05-31T23:15:00-05:00,2026-05-31 23:15:00,11.2,11.2,11.1,0,0,7.2,189,0,0,0,2.4,427.8,1015.6,99,0,0,19.5,69,1,733.2,1,19.5,13.7
2026-05-31T23:10:00-05:00,2026-05-31 23:10:00,11.3,11.3,11.1,0,0,7.2,192,0,0,0,2.4,427.8,1015.4,99,0,0,19.5,69,1,733,1,19.5,13.7
2026-05-31T23:05:00-05:00,2026-05-31 23:05:00,11.3,11.3,11.1,0,0,7.2,192,0,0,0,2.4,427.8,1015.4,99,0,0,19.5,69,1,733,1,19.5,13.7
2026-05-31T23:00:00-05:00,2026-05-31 23:00:00,11.4,11.4,11.2,0,0,7.2,201,0,0,0,2.4,427.8,1015.4,99,0,0,19.5,69,1,733,1,19.5,13.7
