"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-06-30T23:55:00-05:00,2026-06-30 23:55:00,10.9,10.9,10.7,0,0,1.8,236,0,0,0,45.3,473.1,1014.4,99,0,0,19.2,66,1,731.4,1,19.2,12.7
2026-06-30T23:50:00-05:00,2026-06-30 23:50:00,10.9,10.9,10.7,0,0,1.8,241,0,0,0,45.3,473.1,1014.5,99,0,0,19.2,66,1,731.5,1,19.2,12.7
2026-06-30T23:45:00-05:00,2026-06-30 23:45:00,11,11,10.8,0,0,1.8,238,0,0,0,45.3,473.1,1014.7,99,0,0,19.2,66,1,731.7,1,19.2,12.7
2026-06-30T23:40:00-05:00,2026-06-30 23:40:00,11,11,10.8,0,0,1.8,236,0,0,0,45.3,473.1,1014.8,99,0,0,19.2,66,1,731.8,1,19.2,12.7
2026-06-30T23:35:00-05:00,2026-06-30 23:35:00,10.9,10.9,10.7,0,0,1.8,237,0,0,0,45.3,473.1,1014.7,99,0,0,19.3,66,1,731.7,1,19.3,12.8
2026-06-30T23:30:00-05:00,2026-06-30 23:30:00,11,11,10.8,0,0,1.8,235,0,0,0,45.3,473.1,1014.7,99,0,0,19.3,66,1,731.7,1,19.3,12.8
2026-06-30T23:25:00-05:00,2026-06-30 23:25:00,11,11,10.8,0,0,1.8,235,0,0,0,45.3,473.1,1014.8,99,0,0,19.3,66,1,731.8,1,19.3,12.8
2026-06-30T23:20:00-05:00,2026-06-30 23:20:00,11.1,11.1,11,0,0,1.8,239,0,0,0,45.3,473.1,1014.8,99,0,0,19.3,66,1,731.8,1,19.3,12.8
2026-06-30T23:15:00-05:00,2026-06-30 23:15:00,11,11,10.8,0,0,1.8,239,0,0,0,45.3,473.1,1014.9,99,0,0,19.3,66,1,731.9,1,19.3,12.8
2026-06-30T23:05:00-05:00,2026-06-30 23:05:00,11,11,10.8,0,0,1.8,239,0,0,0,45.3,473.1,1014.9,99,0,0,19.3,66,1,731.9,1,19.3,12.8
2026-06-30T23:00:00-05:00,2026-06-30 23:00:00,11.1,11.1,11,0,0,1.8,239,0,0,0,45.3,473.1,1015,99,0,0,19.4,66,1,732,1,19.4,12.9
