"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-07-31T23:55:00-05:00,2026-07-31 23:55:00,15.1,15.1,7.6,0,0,9.4,185,0,0,0,2.6,475.7,1014.1,61,0,0,18.6,57,1,732.3,1,18.6,9.9
2026-07-31T23:50:00-05:00,2026-07-31 23:50:00,14.9,14.9,7.7,0,0,9.4,205,0,0,0,2.6,475.7,1014.3,62,0,0,18.6,57,1,732.5,1,18.6,9.9
2026-07-31T23:45:00-05:00,2026-07-31 23:45:00,14.5,14.5,7.3,1.1,1.8,9.4,176,0,0,0,2.6,475.7,1014.2,62,0,0,18.7,58,1,732.4,1,18.7,10.3
2026-07-31T23:40:00-05:00,2026-07-31 23:40:00,14.5,14.5,7.3,0,0,9.4,195,0,0,0,2.6,475.7,1014.4,62,0,0,18.7,58,1,732.6,1,18.7,10.3
2026-07-31T23:35:00-05:00,2026-07-31 23:35:00,14.9,14.9,7.4,0,0,9.4,184,0,0,0,2.6,475.7,1014.5,61,0,0,18.7,58,1,732.7,1,18.7,10.3
2026-07-31T23:30:00-05:00,2026-07-31 23:30:00,14.4,14.4,7.2,1.1,1.8,9.4,188,0,0,0,2.6,475.7,1014.5,62,0,0,18.7,58,1,732.7,1,18.7,10.3
2026-07-31T23:25:00-05:00,2026-07-31 23:25:00,14.7,14.7,7.7,0,0,9.4,186,0,0,0,2.6,475.7,1014.3,63,0,0,18.8,58,1,732.5,1,18.8,10.3
2026-07-31T23:20:00-05:00,2026-07-31 23:20:00,14.7,14.7,7.7,0,0,9.4,202,0,0,0,2.6,475.7,1014.5,63,0,0,18.8,57,1,732.7,1,18.8,10.1
2026-07-31T23:15:00-05:00,2026-07-31 23:15:00,14.4,14.4,7.7,0,0,9.4,166,0,0,0,2.6,475.7,1014.5,64,0,0,18.8,57,1,732.7,1,18.8,10.1
2026-07-31T23:10:00-05:00,2026-07-31 23:10:00,14.3,14.3,7.8,0,0,9.4,196,0,0,0,2.6,475.7,1014.6,65,0,0,18.8,57,1,732.8,1,18.8,10.1
