"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-08-31T23:55:00-05:00,2026-08-31 23:55:00,12.3,12.3,5.7,0,0,5.4,122,0,0,0,5.1,480.8,1016.6,64,0,0,17.7,63,1,733.9,1,17.7,10.6
2026-08-31T23:50:00-05:00,2026-08-31 23:50:00,12,12,5.6,0.7,1.8,5.4,128,0,0,0,5.1,480.8,1016.8,65,0,0,17.8,63,1,734.1,1,17.8,10.6
2026-08-31T23:45:00-05:00,2026-08-31 23:45:00,11.5,11.5,5.6,0,0,5.4,126,0,0,0,5.1,480.8,1016.9,67,0,0,17.8,63,1,734.2,1,17.8,10.6
2026-08-31T23:40:00-05:00,2026-08-31 23:40:00,11.6,11.6,5.9,0,0,5.4,122,0,0,0,5.1,480.8,1016.7,68,0,0,17.8,63,1,734,1,17.8,10.6
2026-08-31T23:35:00-05:00,2026-08-31 23:35:00,12.4,12.4,5.8,0,0,5.4,122,0,0,0,5.1,480.8,1016.9,64,0,0,17.9,64,1,734.2,1,17.9,11
2026-08-31T23:30:00-05:00,2026-08-31 23:30:00,12,12,5.6,0,0,5.4,124,0,0,0,5.1,480.8,1016.9,65,0,0,17.9,64,1,734.2,1,17.9,11
2026-08-31T23:25:00-05:00,2026-08-31 23:25:00,11.3,11.3,5.4,0,0,5.4,124,0,0,0,5.1,480.8,1017.1,67,0,0,17.9,64,1,734.4,1,17.9,11
2026-08-31T23:20:00-05:00,2026-08-31 23:20:00,11.1,11.1,5.6,0,0,5.4,126,0,0,0,5.1,480.8,1016.9,69,0,0,18,64,1,734.2,1,18,11.1
2026-08-31T23:15:00-05:00,2026-08-31 23:15:00,10.3,10.3,5,0,0,5.4,124,0,0,0,5.1,480.8,1017,70,0,0,18,64,1,734.3,1,18,11.1
2026-08-31T23:10:00-05:00,2026-08-31 23:10:00,10.1,10.1,5.5,0,0,5.4,123,0,0,0,5.1,480.8,1017,73,0,0,18,64,1,734.3,1,18,11.1
2026-08-31T23:05:00-05:00,2026-08-31 23:05:00,10.5,10.5,5.7,0,0,5.4,121,0,0,0,5.1,480.8,1016.9,72,0,0,18,64,1,734.2,1,18,11.1
