"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-01-31T23:55:00-05:00,2024-01-31 23:55:00,12.1,12.1,11.6,0,0,14.8,179,0,0.3,7.4,66.6,285.5,1013.4,97,0,0,17.6,69,1,735.1,1,17.6,11.8
2024-01-31T23:50:00-05:00,2024-01-31 23:50:00,12.1,12.1,11.6,0,0,14.8,175,0,0.3,7.4,66.6,285.5,1013.4,97,0,0,17.7,69,1,735.1,1,17.7,11.9
2024-01-31T23:45:00-05:00,2024-01-31 23:45:00,12.1,12.1,11.8,0,0,14.8,171,0,0.3,7.4,66.6,285.5,1013.5,98,0,0,17.7,69,1,735.2,1,17.7,11.9
2024-01-31T23:40:00-05:00,2024-01-31 23:40:00,12,12,11.5,0.4,1.8,14.8,177,0,0.3,7.4,66.6,285.5,1013.3,97,0,0,17.7,69,1,735,1,17.7,11.9
2024-01-31T23:35:00-05:00,2024-01-31 23:35:00,12,12,11.5,0.4,1.8,14.8,230,0,0.3,7.4,66.6,285.5,1013.3,97,0,0,17.7,69,1,735,1,17.7,11.9
2024-01-31T23:30:00-05:00,2024-01-31 23:30:00,11.9,11.9,11.6,0,0,14.8,224,0,0.3,7.4,66.6,285.5,1013.3,98,0,0,17.8,69,1,735,1,17.8,12
2024-01-31T23:25:00-05:00,2024-01-31 23:25:00,12.1,12.1,11.8,0,0,14.8,217,0,0.3,7.4,66.6,285.5,1013.4,98,0,0,17.8,69,1,735.1,1,17.8,12
2024-01-31T23:20:00-05:00,2024-01-31 23:20:00,12.1,12.1,11.8,0,0,14.8,191,0,0.3,7.4,66.6,285.5,1013.5,98,0,0,17.8,69,1,735.2,1,17.8,12
2024-01-31T23:15:00-05:00,2024-01-31 23:15:00,12.1,12.1,11.8,0,0,14.8,191,0,0.3,7.4,66.6,285.5,1013.7,98,0,0,17.9,69,1,735.4,1,17.9,12.1
2024-01-31T23:10:00-05:00,2024-01-31 23:10:00,12.1,12.1,11.8,0,0,14.8,191,0,0.3,7.4,66.6,285.5,1013.7,98,0,0,17.9,69,1,735.4,1,17.9,12.1
2024-01-31T23:05:00-05:00,2024-01-31 23:05:00,12.1,12.1,11.8,0,0,14.8,223,0,0.3,7.4,66.6,285.5,1013.7,98,0,0,17.9,69,1,735.4,1,17.9,12.1
2024-01-31T23:00:00-05:00,2024-01-31 23:00:00,12.1,12.1,11.8,0,0,14.8,223,0,0.3,7.4,66.6,285.5,1013.6,98,0,0,17.9,69,1,735.3,1,17.9,12.1
2024-01-31T22:55:00-05:00,2024-01-31 22:55:00,12,12,11.7,0,0,14.8,210,0,0.3,7.4,66.6,285.5,1013.8,98,0,0,17.9,69,1,735.5,1,17.9,12.1
2024-01-31T22:50:00-05:00,2024-01-31 22:50:00,12,12,11.7,0,0,14.8,210,0,0.3,7.4,66.6,285.5,1013.7,98,0,0,17.9,69,1,735.4,1,17.9,12.1
2024-01-31T22:45:00-05:00,2024-01-31 22:45:00,11.9,11.9,11.6,0,0,14.8,178,0,0.3,7.4,66.6,285.5,1013.8,98,0,0,17.9,69,1,735.5,1,17.9,12.1
2024-01-31T22:40:00-05:00,2024-01-31 22:40:00,11.8,11.8,11.3,0,0,14.8,216,0,0.3,7.4,66.6,285.5,1013.6,97,0,0,18,69,1,735.3,1,18,12.2
2024-01-31T22:35:00-05:00,2024-01-31 22:35:00,11.8,11.8,11.3,0,0,14.8,175,0,0.3,7.4,66.6,285.5,1013.5,97,0,0,18,69,1,735.2,1,18,12.2
2024-01-31T22:30:00-05:00,2024-01-31 22:30:00,11.8,11.8,11.3,0.4,1.8,14.8,214,0,0.3,7.4,66.6,285.5,1013.5,97,0,0,18,69,1,735.2,1,18,12.2
2024-01-31T22:25:00-05:00,2024-01-31 22:25:00,11.8,11.8,11.3,0,0,14.8,219,0,0.3,7.4,66.6,285.5,1013.4,97,0,0,18.1,69,1,735.1,1,18.1,12.3
2024-01-31T22:20:00-05:00,2024-01-31 22:20:00,12,12,11.5,0,0,14.8,188,0,0.3,7.4,66.6,285.5,1013.4,97,0,0,18.1,69,1,735.1,1,18.1,12.3
2024-01-31T22:15:00-05:00,2024-01-31 22:15:00,12,12,11.5,0.7,1.8,14.8,234,0,0.3,7.4,66.6,285.5,1013.1,97,0,0,18.2,69,1,734.8,1,18.2,12.4
2024-01-31T22:10:00-05:00,2024-01-31 22:10:00,11.9,11.9,11.4,0,0,14.8,209,0,0.3,7.4,66.6,285.5,1013.2,97,0,0,18.2,69,1,734.9,1,18.2,12.4
2024-01-31T22:05:00-05:00,2024-01-31 22:05:00,12,12,11.5,0,0,14.8,209,0,0.3,7.4,66.6,285.5,1013.3,97,0,0,18.2,69,1,735,1,18.2,12.4
2024-01-31T22:00:00-05:00,2024-01-31 22:00:00,12.1,12.1,11.6,0,0,14.8,176,0,0.3,7.4,66.6,285.5,1013.3,97,0,0,18.3,68,1,735,1,18.3,12.3
2024-01-31T21:55:00-05:00,2024-01-31 21:55:00,12.1,12.1,11.6,0,0,14.8,176,0,0.3,7.4,66.6,285.5,1013.1,97,0,0,18.4,68,1,734.8,1,18.4,12.4
2024-01-31T21:50:00-05:00,2024-01-31 21:50:00,12.2,12.2,11.8,0,0,14.8,182,0,0.3,7.4,66.6,285.5,1013.1,97,0,0,18.4,68,1,734.8,1,18.4,12.4
2024-01-31T21:45:00-05:00,2024-01-31 21:45:00,12.3,12.3,11.8,0,0,14.8,219,0,0.3,7.4,66.6,285.5,1013.2,97,0,0,18.5,68,1,734.9,1,18.5,12.5
2024-01-31T21:40:00-05:00,2024-01-31 21:40:00,12.4,12.4,11.9,0,0,14.8,219,0,0.3,7.4,66.6,285.5,1013.3,97,0,0,18.6,68,1,735,1,18.6,12.6
2024-01-31T21:35:00-05:00,2024-01-31 21:35:00,12.5,12.5,12,0,0,14.8,219,0,0.3,7.4,66.6,285.5,1013.4,97,0,0,18.6,68,1,735.1,1,18.6,12.6
2024-01-31T21:30:00-05:00,2024-01-31 21:30:00,12.5,12.5,12,0,0,14.8,214,0,0.3,7.4,66.6,285.5,1013.3,97,0,0,18.7,68,1,735,1,18.7,12.7
2024-01-31T21:25:00-05:00,2024-01-31 21:25:00,12.7,12.7,12.4,0,0,14.8,173,0,0.3,7.4,66.6,285.5,1013.2,98,0,0,18.7,68,1,734.9,1,18.7,12.7
2024-01-31T21:20:00-05:00,2024-01-31 21:20:00,12.7,12.7,12.4,0,0,14.8,211,0,0.3,7.4,66.6,285.5,1013.2,98,0,0,18.8,68,1,734.9,1,18.8,12.7
2024-01-31T21:15:00-05:00,2024-01-31 21:15:00,12.8,12.8,12.5,0,0,14.8,212,0,0.3,7.4,66.6,285.5,1013.1,98,0,0,18.8,68,1,734.8,1,18.8,12.7
2024-01-31T21:10:00-05:00,2024-01-31 21:10:00,12.8,12.8,12.5,0,0,14.8,212,0,0.3,7.4,66.6,285.5,1013.2,98,0,0,18.9,68,1,734.9,1,18.9,12.8
2024-01-31T21:05:00-05:00,2024-01-31 21:05:00,12.7,12.7,12.4,0,0,14.8,212,0,0.3,7.4,66.6,285.5,1013.2,98,0,0,18.9,67,1,734.9,1,18.9,12.6
2024-01-31T21:00:00-05:00,2024-01-31 21:00:00,12.7,12.7,12.4,0,0,14.8,212,0,0.3,7.4,66.6,285.5,1013.2,98,0,0,18.9,67,1,734.9,1,18.9,12.6
2024-01-31T20:55:00-05:00,2024-01-31 20:55:00,12.8,12.8,12.5,0,0,14.8,212,0,0.3,7.4,66.6,285.5,1013.3,98,0,0,18.9,67,1,735,1,18.9,12.6
2024-01-31T20:50:00-05:00,2024-01-31 20:50:00,12.8,12.8,12.5,0,0,14.8,210,0,0.3,7.4,66.6,285.5,1013.3,98,0,0,19,67,1,735,1,19,12.7
2024-01-31T20:45:00-05:00,2024-01-31 20:45:00,12.8,12.8,12.5,0,0,14.8,210,0,0.3,7.4,66.6,285.5,1013.2,98,0,0,19,67,1,734.9,1,19,12.7
2024-01-31T20:40:00-05:00,2024-01-31 20:40:00,13,13,12.7,0.4,1.8,14.8,220,0,0.3,7.4,66.6,285.5,1013.1,98,0,0,19.1,67,1,734.8,1,19.1,12.8
2024-01-31T20:35:00-05:00,2024-01-31 20:35:00,13,13,12.5,0,0,14.8,214,0,0.3,7.4,66.6,285.5,1013,97,0,0,19.1,67,1,734.7,1,19.1,12.8
2024-01-31T20:30:00-05:00,2024-01-31 20:30:00,12.9,12.9,12.4,0,0,14.8,220,0,0.3,7.4,66.6,285.5,1013,97,0,0,19.1,67,1,734.7,1,19.1,12.8
2024-01-31T20:25:00-05:00,2024-01-31 20:25:00,12.8,12.8,12.5,0,0,14.8,213,0,0.3,7.4,66.6,285.5,1013,98,0,0,19.2,67,1,734.7,1,19.2,12.9
2024-01-31T20:20:00-05:00,2024-01-31 20:20:00,12.9,12.9,12.6,0,0,14.8,213,0,0.3,7.4,66.6,285.5,1012.9,98,0,0,19.2,67,1,734.6,1,19.2,12.9
2024-01-31T20:15:00-05:00,2024-01-31 20:15:00,12.9,12.9,12.6,0,0,14.8,213,0,0.3,7.4,66.6,285.5,1013,98,0,0,19.2,67,1,734.7,1,19.2,12.9
2024-01-31T20:11:00-05:00,2024-01-31 20:11:00,12.8,12.8,12.5,0,0,14.8,213,0,0.3,7.4,66.6,285.5,1012.6,98,0,0,19.2,67,1,734.3,1,19.2,12.9
2024-01-31T20:05:00-05:00,2024-01-31 20:05:00,12.7,12.7,12.4,0,0,14.8,213,0,0.3,7.4,66.6,285.5,1012.7,98,0,0,19.3,67,1,734.4,1,19.3,13
2024-01-31T20:00:00-05:00,2024-01-31 20:00:00,12.8,12.8,12.5,0,0,14.8,213,0,0.3,7.4,66.6,285.5,1012.7,98,0,0,19.3,66,1,734.4,1,19.3,12.8
2024-01-31T19:55:00-05:00,2024-01-31 19:55:00,12.7,12.7,12.4,0,0,14.8,213,0,0.3,7.4,66.6,285.5,1012.7,98,0,0,19.4,66,1,734.4,1,19.4,12.9
2024-01-31T19:50:00-05:00,2024-01-31 19:50:00,12.7,12.7,12.4,0,0,14.8,214,0,0.3,7.4,66.6,285.5,1012.8,98,0,0,19.4,66,1,734.5,1,19.4,12.9
2024-01-31T19:45:00-05:00,2024-01-31 19:45:00,12.8,12.8,12.5,0,0,14.8,211,0,0.3,7.4,66.6,285.5,1012.3,98,0,0,19.5,66,1,734,1,19.5,13
