"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-04-30T23:55:00-05:00,2024-04-30 23:55:00,11.2,11.2,10.1,0,0,1.8,178,0,0.2,6.8,104.1,595.1,1012.5,93,0,0,15.8,72,1,734.2,1,15.8,10.7
2024-04-30T23:50:00-05:00,2024-04-30 23:50:00,11.1,11.1,10,0,0,1.8,178,0,0.2,6.8,104.1,595.1,1012.5,93,0,0,15.8,72,1,734.2,1,15.8,10.7
2024-04-30T23:45:00-05:00,2024-04-30 23:45:00,11.1,11.1,10.2,0,0,1.8,181,0,0.2,6.8,104.1,595.1,1012.6,94,0,0,15.8,73,1,734.3,1,15.8,10.9
2024-04-30T23:40:00-05:00,2024-04-30 23:40:00,11.1,11.1,10.5,0,0,1.8,182,0,0.2,6.8,104.1,595.1,1012.5,96,0,0,15.8,73,1,734.2,1,15.8,10.9
2024-04-30T23:35:00-05:00,2024-04-30 23:35:00,11,11,10.4,0,0,1.8,182,0,0.2,6.8,104.1,595.1,1012.4,96,0,0,15.9,73,1,734.1,1,15.9,11.1
2024-04-30T23:30:00-05:00,2024-04-30 23:30:00,11.1,11.1,10.7,0,0,1.8,182,0,0.2,6.8,104.1,595.1,1012.3,97,0,0,15.9,73,1,734,1,15.9,11.1
2024-04-30T23:25:00-05:00,2024-04-30 23:25:00,11.1,11.1,10.5,0,0,1.8,182,0,0.2,6.8,104.1,595.1,1012.5,96,0,0,15.9,73,1,734.2,1,15.9,11.1
2024-04-30T23:21:00-05:00,2024-04-30 23:21:00,10.9,10.9,10.3,0,0,1.8,180,0,0.2,6.8,104.1,595.1,1012.5,96,0,0,15.9,73,1,734.2,1,15.9,11.1
2024-04-30T23:15:00-05:00,2024-04-30 23:15:00,11,11,10.4,0,0,1.8,183,0,0.2,6.8,104.1,595.1,1012.4,96,0,0,15.9,73,1,734.1,1,15.9,11.1
2024-04-30T23:10:00-05:00,2024-04-30 23:10:00,10.9,10.9,10.3,0,0,1.8,223,0,0.2,6.8,104.1,595.1,1012.6,96,0,0,16,73,1,734.3,1,16,11.2
2024-04-30T23:05:00-05:00,2024-04-30 23:05:00,11.2,11.2,10.8,0,0,1.8,186,0,0.2,6.8,104.1,595.1,1012.4,97,0,0,16,73,1,734.1,1,16,11.2
2024-04-30T23:00:00-05:00,2024-04-30 23:00:00,11.2,11.2,10.6,0,0,1.8,186,0,0.2,6.8,104.1,595.1,1012.6,96,0,0,16,73,1,734.3,1,16,11.2
2024-04-30T22:55:00-05:00,2024-04-30 22:55:00,11.1,11.1,10.7,0,0,1.8,222,0,0.2,6.8,104.1,595.1,1012.5,97,0,0,16.1,73,1,734.2,1,16.1,11.3
2024-04-30T22:50:00-05:00,2024-04-30 22:50:00,11.3,11.3,10.8,0,0,1.8,221,0,0.2,6.8,104.1,595.1,1012.5,97,0,0,16.1,73,1,734.2,1,16.1,11.3
2024-04-30T22:45:00-05:00,2024-04-30 22:45:00,11.3,11.3,10.7,0,0,1.8,220,0,0.2,6.8,104.1,595.1,1012.4,96,0,0,16.2,73,1,734.1,1,16.2,11.4
2024-04-30T22:40:00-05:00,2024-04-30 22:40:00,11.4,11.4,10.9,0,0,1.8,220,0,0.2,6.8,104.1,595.1,1012.4,97,0,0,16.2,73,1,734.1,1,16.2,11.4
2024-04-30T22:35:00-05:00,2024-04-30 22:35:00,11.3,11.3,10.8,0,0,1.8,204,0,0.2,6.8,104.1,595.1,1012.4,97,0,0,16.2,73,1,734.1,1,16.2,11.4
2024-04-30T22:30:00-05:00,2024-04-30 22:30:00,11.4,11.4,11.1,0,0,1.8,195,0,0.2,6.8,104.1,595.1,1012.2,98,0,0,16.3,73,1,733.9,1,16.3,11.4
2024-04-30T22:25:00-05:00,2024-04-30 22:25:00,11.3,11.3,11,0,0,1.8,177,0,0.2,6.8,104.1,595.1,1012.6,98,0,0,16.3,73,1,734.3,1,16.3,11.4
2024-04-30T22:20:00-05:00,2024-04-30 22:20:00,11.2,11.2,10.9,0,0,1.8,193,0,0.2,6.8,104.1,595.1,1012.4,98,0,0,16.3,73,1,734.1,1,16.3,11.4
