"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-08-31T23:55:00-05:00,2024-08-31 23:55:00,12,12,3.7,1.1,1.8,46.1,184,0,0,0,3.3,688.1,1012.4,57,0,0,14.5,42,1,719.4,1,14.5,1.7
2024-08-31T23:50:00-05:00,2024-08-31 23:50:00,12,12,3.7,3.6,5.4,46.1,267,0,0,0,3.3,688.1,1012.4,57,0,0,14.6,42,1,719.4,1,14.6,1.8
2024-08-31T23:45:00-05:00,2024-08-31 23:45:00,12.2,12.2,4,2.2,3.6,46.1,230,0,0,0,3.3,688.1,1012.4,57,0,0,14.7,42,1,719.4,1,14.7,1.9
2024-08-31T23:40:00-05:00,2024-08-31 23:40:00,12.3,12.3,4,0,0,46.1,231,0,0,0,3.3,688.1,1012.2,57,0,0,14.7,42,1,719.2,1,14.7,1.9
2024-08-31T23:35:00-05:00,2024-08-31 23:35:00,12.4,12.4,3.9,3.2,5.4,46.1,215,0,0,0,3.3,688.1,1012.6,56,0,0,14.7,42,1,719.6,1,14.7,1.9
2024-08-31T23:30:00-05:00,2024-08-31 23:30:00,12.5,12.5,4,3.6,5.4,46.1,262,0,0,0,3.3,688.1,1012.5,56,0,0,14.8,42,1,719.5,1,14.8,2
2024-08-31T23:25:00-05:00,2024-08-31 23:25:00,12.5,12.5,3.7,0,0,46.1,234,0,0,0,3.3,688.1,1012.6,55,0,0,14.8,42,1,719.6,1,14.8,2
2024-08-31T23:20:00-05:00,2024-08-31 23:20:00,12.1,12.1,3.6,13.3,18.4,46.1,74,0,0,0,3.3,688.1,1012.7,56,0,0,14.8,42,1,719.7,1,14.8,2
2024-08-31T23:15:00-05:00,2024-08-31 23:15:00,12.2,12.2,4,0.7,1.8,46.1,249,0,0,0,3.3,688.1,1012.6,57,0,0,14.8,42,1,719.6,1,14.8,2
2024-08-31T23:10:00-05:00,2024-08-31 23:10:00,12.1,12.1,4.1,2.9,5.4,46.1,278,0,0,0,3.3,688.1,1012.7,58,0,0,14.9,41,1,719.7,1,14.9,1.8
2024-08-31T23:05:00-05:00,2024-08-31 23:05:00,12.3,12.3,4,0,0,46.1,251,0,0,0,3.3,688.1,1012.6,57,0,0,14.9,41,1,719.6,1,14.9,1.8
2024-08-31T23:00:00-05:00,2024-08-31 23:00:00,12.5,12.5,4,1.1,1.8,46.1,244,0,0,0,3.3,688.1,1012.8,56,0,0,15,41,1,719.8,1,15,1.8
2024-08-31T22:55:00-05:00,2024-08-31 22:55:00,12.7,12.7,3.9,1.1,1.8,46.1,222,0,0,0,3.3,688.1,1012.6,55,0,0,15,41,1,719.6,1,15,1.8
2024-08-31T22:50:00-05:00,2024-08-31 22:50:00,12.7,12.7,3.7,9.4,11.2,46.1,46,0,0,0,3.3,688.1,1012.7,54,0,0,15,41,1,719.7,1,15,1.8
2024-08-31T22:45:00-05:00,2024-08-31 22:45:00,12.8,12.8,3.7,3.6,5.4,46.1,221,0,0,0,3.3,688.1,1012.6,54,0,0,15,41,1,719.6,1,15,1.8
2024-08-31T22:40:00-05:00,2024-08-31 22:40:00,13,13,3.9,2.5,3.6,46.1,205,0,0,0,3.3,688.1,1012.7,54,0,0,15.1,41,1,719.7,1,15.1,1.9
2024-08-31T22:35:00-05:00,2024-08-31 22:35:00,13.1,13.1,3.7,2.9,3.6,46.1,236,0,0,0,3.3,688.1,1012.7,53,0,0,15.1,41,1,719.7,1,15.1,1.9
2024-08-31T22:30:00-05:00,2024-08-31 22:30:00,13.2,13.2,3.8,0,0,46.1,242,0,0,0,3.3,688.1,1012.8,53,0,0,15.1,41,1,719.8,1,15.1,1.9
2024-08-31T22:25:00-05:00,2024-08-31 22:25:00,13.1,13.1,3.2,8.6,9.4,46.1,58,0,0,0,3.3,688.1,1012.8,51,0,0,15,41,1,719.8,1,15,1.8
2024-08-31T22:21:00-05:00,2024-08-31 22:21:00,13,13,3.4,5.4,9.4,46.1,72,0,0,0,3.3,688.1,1012.4,52,0,0,15,41,1,719.4,1,15,1.8
2024-08-31T22:15:00-05:00,2024-08-31 22:15:00,12.4,12.4,3.9,0.7,1.8,46.1,250,0,0,0,3.3,688.1,1012.6,56,0,0,15,41,1,719.6,1,15,1.8
2024-08-31T22:10:00-05:00,2024-08-31 22:10:00,12.3,12.3,3.8,4.7,7.2,46.1,233,0,0,0,3.3,688.1,1012.7,56,0,0,15.1,41,1,719.7,1,15.1,1.9
2024-08-31T22:05:00-05:00,2024-08-31 22:05:00,12.3,12.3,3.8,2.9,3.6,46.1,256,0,0,0,3.3,688.1,1012.7,56,0,0,15.1,41,1,719.7,1,15.1,1.9
2024-08-31T22:00:00-05:00,2024-08-31 22:00:00,12.3,12.3,3.8,6.1,9.4,46.1,116,0,0,0,3.3,688.1,1012.5,56,0,0,15.1,40,1,719.5,1,15.1,1.6
2024-08-31T21:55:00-05:00,2024-08-31 21:55:00,12.4,12.4,3.3,0.4,1.8,46.1,212,0,0,0,3.3,688.1,1012.5,54,0,0,15.1,40,1,719.5,1,15.1,1.6
