"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-09-30T23:56:00-05:00,2024-09-30 23:56:00,10.3,10.3,8.9,0,0,23.8,247,0,0.5,2.3,7.1,695.2,1014.1,91,0,0,13.9,65,1,719.1,1,13.9,7.4
2024-09-30T23:50:00-05:00,2024-09-30 23:50:00,10.2,10.2,8.8,2.2,3.6,23.8,241,0,0.5,2.3,7.1,695.2,1014,91,0,0,14,65,1,719,1,14,7.5
2024-09-30T23:45:00-05:00,2024-09-30 23:45:00,10.4,10.4,8.7,11.9,13,23.8,243,0,0.5,2.3,7.1,695.2,1014,89,0,0,14,65,1,719,1,14,7.5
2024-09-30T23:40:00-05:00,2024-09-30 23:40:00,10.4,10.4,8.8,10.4,13,18.4,296,0,0.5,2.3,7.1,695.2,1013.9,90,0,0,13.9,64,1,718.9,1,13.9,7.2
2024-09-30T23:35:00-05:00,2024-09-30 23:35:00,12.5,12.5,10,13.3,14.8,18.4,259,0,0.5,2.3,7.1,695.2,1014.1,85,0,0,13.8,63,1,719.1,1,13.8,6.8
2024-09-30T23:30:00-05:00,2024-09-30 23:30:00,12.5,12.5,8.2,0.7,1.8,18.4,251,0,0.5,2.3,7.1,695.2,1014,75,0,0,13.7,63,1,719,1,13.7,6.8
2024-09-30T23:25:00-05:00,2024-09-30 23:25:00,12.4,12.4,8.3,1.4,3.6,18.4,232,0,0.5,2.3,7.1,695.2,1014,76,0,0,13.7,63,1,719,1,13.7,6.8
2024-09-30T23:20:00-05:00,2024-09-30 23:20:00,12.5,12.5,8.4,4,5.4,18.4,200,0,0.5,2.3,7.1,695.2,1014.3,76,0,0,13.7,62,1,719.3,1,13.7,6.6
2024-09-30T23:15:00-05:00,2024-09-30 23:15:00,12.4,12.4,8.3,1.8,3.6,18.4,236,0,0.5,2.3,7.1,695.2,1014.2,76,0,0,13.7,62,1,719.2,1,13.7,6.6
2024-09-30T23:10:00-05:00,2024-09-30 23:10:00,12.3,12.3,8.4,3.6,5.4,18.4,233,0,0.5,2.3,7.1,695.2,1014.3,77,0,0,13.7,63,1,719.3,1,13.7,6.8
