"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Outdoor Battery","Absolute Pressure (hPa)","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-05-31T23:55:00-05:00,2025-05-31 23:55:00,10,10,9.8,0,0,11.2,271,0,4.5,4.5,42.6,1454.7,1014.2,99,0,0,13.3,75,1,719.8,1,13.3,8.9
2025-05-31T23:50:00-05:00,2025-05-31 23:50:00,10,10,9.8,0,0,11.2,271,0,4.5,4.5,42.6,1454.7,1014.1,99,0,0,13.4,75,1,719.7,1,13.4,9.1
2025-05-31T23:45:00-05:00,2025-05-31 23:45:00,9.9,9.9,9.7,0,0,11.2,271,0,4.5,4.5,42.6,1454.7,1014.3,99,0,0,13.4,75,1,719.9,1,13.4,9.1
2025-05-31T23:40:00-05:00,2025-05-31 23:40:00,9.9,9.9,9.7,0,0,11.2,276,0,4.5,4.5,42.6,1454.7,1014.3,99,0,0,13.4,75,1,719.9,1,13.4,9.1
2025-05-31T23:35:00-05:00,2025-05-31 23:35:00,9.8,9.8,9.6,0,0,11.2,275,0,4.5,4.5,42.6,1454.7,1014.3,99,0,0,13.4,75,1,719.9,1,13.4,9.1
2025-05-31T23:30:00-05:00,2025-05-31 23:30:00,9.9,9.9,9.7,0,0,11.2,276,0,4.5,4.5,42.6,1454.7,1014.4,99,0,0,13.4,75,1,720,1,13.4,9.1
2025-05-31T23:25:00-05:00,2025-05-31 23:25:00,9.9,9.9,9.7,0,0,11.2,275,0,4.5,4.5,42.6,1454.7,1014.4,99,0,0,13.4,75,1,720,1,13.4,9.1
2025-05-31T23:20:00-05:00,2025-05-31 23:20:00,9.9,9.9,9.7,0,0,11.2,271,0,4.5,4.5,42.6,1454.7,1014.4,99,0,0,13.4,75,1,720,1,13.4,9.1
2025-05-31T23:15:00-05:00,2025-05-31 23:15:00,10,10,9.8,0,0,11.2,271,0,4.5,4.5,42.6,1454.7,1014.5,99,0,0,13.4,75,1,720.1,1,13.4,9.1
2025-05-31T23:10:00-05:00,2025-05-31 23:10:00,9.8,9.8,9.6,0,0,11.2,267,0,4.5,4.5,42.6,1454.7,1014.2,99,0,0,13.5,75,1,719.8,1,13.5,9.2
2025-05-31T23:05:00-05:00,2025-05-31 23:05:00,9.7,9.7,9.6,0,0,11.2,267,0,4.5,4.5,42.6,1454.7,1014.4,99,0,0,13.5,75,1,720,1,13.5,9.2
2025-05-31T23:00:00-05:00,2025-05-31 23:00:00,9.9,9.9,9.7,0,0,11.2,270,0,4.5,4.5,42.6,1454.7,1014.3,99,0,0,13.5,75,1,719.9,1,13.5,9.2
2025-05-31T22:55:00-05:00,2025-05-31 22:55:00,10.1,10.1,10,0,0,11.2,270,1.2,4.5,4.5,42.6,1454.7,1014.3,99,0,0,13.5,75,1,719.9,1,13.5,9.2
2025-05-31T22:50:00-05:00,2025-05-31 22:50:00,10.1,10.1,10,0,0,11.2,270,1.2,4.5,4.5,42.6,1454.7,1014.4,99,0,0,13.4,75,1,720,1,13.4,9.1
2025-05-31T22:45:00-05:00,2025-05-31 22:45:00,10.1,10.1,10,0,0,11.2,270,0,4.3,4.3,42.4,1454.5,1014.4,99,0,0,13.5,75,1,720,1,13.5,9.2
2025-05-31T22:40:00-05:00,2025-05-31 22:40:00,10.1,10.1,10,0,0,11.2,269,0,4.3,4.3,42.4,1454.5,1014.6,99,0,0,13.5,75,1,720.2,1,13.5,9.2
2025-05-31T22:35:00-05:00,2025-05-31 22:35:00,10.2,10.2,10.1,0,0,11.2,269,0,4.3,4.3,42.4,1454.5,1014.4,99,0,0,13.6,75,1,720,1,13.6,9.3
2025-05-31T22:30:00-05:00,2025-05-31 22:30:00,10.2,10.2,10.1,0,0,11.2,268,0,4.3,4.3,42.4,1454.5,1014.6,99,0,0,13.6,75,1,720.2,1,13.6,9.3
2025-05-31T22:26:00-05:00,2025-05-31 22:26:00,10.3,10.3,10.1,0,0,11.2,272,0,4.3,4.3,42.4,1454.5,1014.3,99,0,0,13.6,75,1,719.9,1,13.6,9.3
2025-05-31T22:20:00-05:00,2025-05-31 22:20:00,10.3,10.3,10.1,0,0,11.2,272,0,4.3,4.3,42.4,1454.5,1014.6,99,0,0,13.7,75,1,720.2,1,13.7,9.4
2025-05-31T22:15:00-05:00,2025-05-31 22:15:00,10.3,10.3,10.1,0,0,11.2,267,0,4.3,4.3,42.4,1454.5,1014.5,99,0,0,13.7,75,1,720.1,1,13.7,9.4
2025-05-31T22:10:00-05:00,2025-05-31 22:10:00,10.5,10.5,10.3,0,0,11.2,267,0,4.3,4.3,42.4,1454.5,1014.5,99,0,0,13.7,76,1,720.1,1,13.7,9.6
